year,month,metric,value
2016,Jan,active_listings,3946
2016,Jan,days_to_sell,38
2016,Jan,median_sale_price,215275
2016,Jan,new_listings,1617
2016,Feb,active_listings,3933
2016,Feb,days_to_sell,37
2016,Feb,median_sale_price,210500
2016,Feb,new_listings,1719
2016,Mar,active_listings,4158
2016,Mar,days_to_sell,26
2016,Mar,median_sale_price,226000
2016,Mar,new_listings,2392
2016,Apr,active_listings,4291
2016,Apr,days_to_sell,17
2016,Apr,median_sale_price,227950
2016,Apr,new_listings,2432
2016,May,active_listings,4368
2016,May,days_to_sell,13
2016,May,median_sale_price,235000
2016,May,new_listings,2188
2016,Jun,active_listings,4511
2016,Jun,days_to_sell,13
2016,Jun,median_sale_price,246900
2016,Jun,new_listings,2072
2016,Jul,active_listings,4404
2016,Jul,days_to_sell,13
2016,Jul,median_sale_price,247250
2016,Jul,new_listings,1915
2016,Aug,active_listings,4429
2016,Aug,days_to_sell,18
2016,Aug,median_sale_price,239900
2016,Aug,new_listings,1931
2016,Sep,active_listings,4453
2016,Sep,days_to_sell,18
2016,Sep,median_sale_price,228010
2016,Sep,new_listings,1750
2016,Oct,active_listings,4385
2016,Oct,days_to_sell,22
2016,Oct,median_sale_price,240000
2016,Oct,new_listings,1661
2016,Nov,active_listings,4029
2016,Nov,days_to_sell,26
2016,Nov,median_sale_price,235000
2016,Nov,new_listings,1225
2016,Dec,active_listings,3527
2016,Dec,days_to_sell,28
2016,Dec,median_sale_price,238000
2016,Dec,new_listings,986
2017,Jan,active_listings,3343
2017,Jan,days_to_sell,32
2017,Jan,median_sale_price,231950
2017,Jan,new_listings,1588
2017,Feb,active_listings,3421
2017,Feb,days_to_sell,29
2017,Feb,median_sale_price,235200
2017,Feb,new_listings,1903
2017,Mar,active_listings,3659
2017,Mar,days_to_sell,17
2017,Mar,median_sale_price,239500
2017,Mar,new_listings,2479
2017,Apr,active_listings,3803
2017,Apr,days_to_sell,12
2017,Apr,median_sale_price,240000
2017,Apr,new_listings,2305
2017,May,active_listings,3974
2017,May,days_to_sell,11
2017,May,median_sale_price,249100
2017,May,new_listings,2433
2017,Jun,active_listings,4291
2017,Jun,days_to_sell,11
2017,Jun,median_sale_price,260000
2017,Jun,new_listings,2393
2017,Jul,active_listings,4261
2017,Jul,days_to_sell,13
2017,Jul,median_sale_price,262750
2017,Jul,new_listings,2008
2017,Aug,active_listings,4295
2017,Aug,days_to_sell,12
2017,Aug,median_sale_price,257900
2017,Aug,new_listings,2021
2017,Sep,active_listings,4266
2017,Sep,days_to_sell,15
2017,Sep,median_sale_price,245000
2017,Sep,new_listings,1834
2017,Oct,active_listings,4128
2017,Oct,days_to_sell,17
2017,Oct,median_sale_price,235000
2017,Oct,new_listings,1829
2017,Nov,active_listings,3836
2017,Nov,days_to_sell,16
2017,Nov,median_sale_price,248000
2017,Nov,new_listings,1329
2017,Dec,active_listings,3303
2017,Dec,days_to_sell,21
2017,Dec,median_sale_price,259725
2017,Dec,new_listings,989
2018,Jan,active_listings,3052
2018,Jan,days_to_sell,23
2018,Jan,median_sale_price,248000
2018,Jan,new_listings,1587
2018,Feb,active_listings,3139
2018,Feb,days_to_sell,22
2018,Feb,median_sale_price,245725
2018,Feb,new_listings,1778
2018,Mar,active_listings,3263
2018,Mar,days_to_sell,14
2018,Mar,median_sale_price,258305
2018,Mar,new_listings,2308
2018,Apr,active_listings,3477
2018,Apr,days_to_sell,8
2018,Apr,median_sale_price,259000
2018,Apr,new_listings,2331
2018,May,active_listings,3834
2018,May,days_to_sell,8
2018,May,median_sale_price,265000
2018,May,new_listings,2488
2018,Jun,active_listings,3950
2018,Jun,days_to_sell,8
2018,Jun,median_sale_price,274798
2018,Jun,new_listings,2212
2018,Jul,active_listings,4044
2018,Jul,days_to_sell,10
2018,Jul,median_sale_price,275000
2018,Jul,new_listings,2112
2018,Aug,active_listings,4199
2018,Aug,days_to_sell,12
2018,Aug,median_sale_price,266133
2018,Aug,new_listings,2044
2018,Sep,active_listings,4167
2018,Sep,days_to_sell,12
2018,Sep,median_sale_price,254400
2018,Sep,new_listings,1733
2018,Oct,active_listings,4154
2018,Oct,days_to_sell,14
2018,Oct,median_sale_price,260000
2018,Oct,new_listings,1783
2018,Nov,active_listings,3972
2018,Nov,days_to_sell,17
2018,Nov,median_sale_price,258150
2018,Nov,new_listings,1464
2018,Dec,active_listings,3502
2018,Dec,days_to_sell,19
2018,Dec,median_sale_price,253739
2018,Dec,new_listings,925
2019,Jan,active_listings,3387
2019,Jan,days_to_sell,28
2019,Jan,median_sale_price,253000
2019,Jan,new_listings,1665
2019,Feb,active_listings,3316
2019,Feb,days_to_sell,23
2019,Feb,median_sale_price,246000
2019,Feb,new_listings,1705
2019,Mar,active_listings,3430
2019,Mar,days_to_sell,15
2019,Mar,median_sale_price,267000
2019,Mar,new_listings,2296
2019,Apr,active_listings,3685
2019,Apr,days_to_sell,10
2019,Apr,median_sale_price,269950
2019,Apr,new_listings,2438
2019,May,active_listings,3900
2019,May,days_to_sell,8
2019,May,median_sale_price,272950
2019,May,new_listings,2605
2019,Jun,active_listings,3963
2019,Jun,days_to_sell,8
2019,Jun,median_sale_price,285311
2019,Jun,new_listings,2239
2019,Jul,active_listings,4008
2019,Jul,days_to_sell,9
2019,Jul,median_sale_price,278700
2019,Jul,new_listings,2175
2019,Aug,active_listings,4013
2019,Aug,days_to_sell,11
2019,Aug,median_sale_price,279900
2019,Aug,new_listings,2015
2019,Sep,active_listings,4141
2019,Sep,days_to_sell,13
2019,Sep,median_sale_price,272045
2019,Sep,new_listings,2041
2019,Oct,active_listings,4160
2019,Oct,days_to_sell,14
2019,Oct,median_sale_price,270000
2019,Oct,new_listings,2062
2019,Nov,active_listings,3682
2019,Nov,days_to_sell,16
