Month,Number of New Listings 2016,Number of New Listings 2017,Number of New Listings 2018,Number of New Listings 2019,Number of New Listings 2020,Number of New Listings 2021,Number of New Listings 2022,Number of New Listings 2023,Number of New Listings 2024,Number of New Listings 2025
Jan,"1,617","1,588","1,587","1,665","1,814","1,609","1,280","1,152","1,300","1,314"
Feb,"1,719","1,903","1,778","1,705","1,829","1,497","1,502","1,220","1,318","1,276"
Mar,"2,392","2,479","2,308","2,296","2,317","2,105","1,900","1,577","1,491","1,704"
Apr,"2,432","2,305","2,331","2,438","1,909","2,286","1,946","1,674","1,730","2,119"
May,"2,188","2,433","2,488","2,605","1,936","2,246","2,112","1,628","1,725","1,940"
Jun,"2,072","2,393","2,212","2,239","2,141","2,347","2,159","1,568","1,607","1,753"
Jul,"1,915","2,008","2,112","2,175","2,228","2,262","1,784","1,419","1,604","1,759"
Aug,"1,931","2,021","2,044","2,015","2,104","2,083","1,567","1,520","1,535","1,546"
Sep,"1,750","1,834","1,733","2,041","2,149","1,889","1,588","1,453","1,548","1,737"
Oct,"1,661","1,829","1,783","2,062","2,080","1,807","1,383","1,451","1,631","1,712"
Nov,"1,225","1,329","1,464","1,326","1,486","1,402","1,148","1,160","1,215","1,128"
Dec,986,989,925,979,"1,263","1,005",790,733,868,808
