geoid,name,year,table,variable,label,estimate,moe,cv,reliability
51036,"Charles City County, Virginia",2024,B01001,B01001_001,Total:,6627,NA,NA,NA
51036,"Charles City County, Virginia",2024,B01001,B01001_002,Total:!!Male:,3288,39,0.7210525148093093,High
51036,"Charles City County, Virginia",2024,B01001,B01001_003,Total:!!Male:!!Under 5 years,135,21,9.456264775413711,High
51036,"Charles City County, Virginia",2024,B01001,B01001_004,Total:!!Male:!!5 to 9 years,115,30,15.858332232060263,Medium
51036,"Charles City County, Virginia",2024,B01001,B01001_005,Total:!!Male:!!10 to 14 years,152,32,12.797952327627579,High
51036,"Charles City County, Virginia",2024,B01001,B01001_006,Total:!!Male:!!15 to 17 years,97,26,16.29430012847429,Medium
51036,"Charles City County, Virginia",2024,B01001,B01001_007,Total:!!Male:!!18 and 19 years,32,14,26.595744680851062,Medium
51036,"Charles City County, Virginia",2024,B01001,B01001_008,Total:!!Male:!!20 years,17,11,39.33488288932595,Low
51036,"Charles City County, Virginia",2024,B01001,B01001_009,Total:!!Male:!!21 years,59,31,31.940652207511206,Low
51036,"Charles City County, Virginia",2024,B01001,B01001_010,Total:!!Male:!!22 to 24 years,119,34,17.368649587494573,Medium
51036,"Charles City County, Virginia",2024,B01001,B01001_011,Total:!!Male:!!25 to 29 years,172,11,3.8877500530147735,High
51036,"Charles City County, Virginia",2024,B01001,B01001_012,Total:!!Male:!!30 to 34 years,216,44,12.383203872565575,High
51036,"Charles City County, Virginia",2024,B01001,B01001_013,Total:!!Male:!!35 to 39 years,221,53,14.578662889050872,High
51036,"Charles City County, Virginia",2024,B01001,B01001_014,Total:!!Male:!!40 to 44 years,85,35,25.03128911138924,Medium
51036,"Charles City County, Virginia",2024,B01001,B01001_015,Total:!!Male:!!45 to 49 years,157,13,5.033589530133777,High
51036,"Charles City County, Virginia",2024,B01001,B01001_016,Total:!!Male:!!50 to 54 years,239,10,2.5435260902188706,High
51036,"Charles City County, Virginia",2024,B01001,B01001_017,Total:!!Male:!!55 to 59 years,313,55,10.681996950775414,High
51036,"Charles City County, Virginia",2024,B01001,B01001_018,Total:!!Male:!!60 and 61 years,123,36,17.79227518718956,Medium
51036,"Charles City County, Virginia",2024,B01001,B01001_019,Total:!!Male:!!62 to 64 years,201,53,16.029276111842005,Medium
51036,"Charles City County, Virginia",2024,B01001,B01001_020,Total:!!Male:!!65 and 66 years,122,38,18.93467536997359,Medium
51036,"Charles City County, Virginia",2024,B01001,B01001_021,Total:!!Male:!!67 to 69 years,177,40,13.737914927961809,High
51036,"Charles City County, Virginia",2024,B01001,B01001_022,Total:!!Male:!!70 to 74 years,223,42,11.44928918996279,High
51036,"Charles City County, Virginia",2024,B01001,B01001_023,Total:!!Male:!!75 to 79 years,170,36,12.873234400143035,High
51036,"Charles City County, Virginia",2024,B01001,B01001_024,Total:!!Male:!!80 to 84 years,108,33,18.57480580884836,Medium
51036,"Charles City County, Virginia",2024,B01001,B01001_025,Total:!!Male:!!85 years and over,35,18,31.263569257490225,Low
51036,"Charles City County, Virginia",2024,B01001,B01001_026,Total:!!Female:,3339,39,0.7100391340799668,High
51036,"Charles City County, Virginia",2024,B01001,B01001_027,Total:!!Female:!!Under 5 years,101,25,15.047097414908665,Medium
51036,"Charles City County, Virginia",2024,B01001,B01001_028,Total:!!Female:!!5 to 9 years,137,40,17.74898497992146,Medium
51036,"Charles City County, Virginia",2024,B01001,B01001_029,Total:!!Female:!!10 to 14 years,123,42,20.75765438505449,Medium
51036,"Charles City County, Virginia",2024,B01001,B01001_030,Total:!!Female:!!15 to 17 years,81,20,15.00994408795827,Medium
51036,"Charles City County, Virginia",2024,B01001,B01001_031,Total:!!Female:!!18 and 19 years,117,38,19.743849531083573,Medium
51036,"Charles City County, Virginia",2024,B01001,B01001_032,Total:!!Female:!!20 years,27,21,47.28132387706856,Low
51036,"Charles City County, Virginia",2024,B01001,B01001_033,Total:!!Female:!!21 years,18,15,50.658561296859176,Low
51036,"Charles City County, Virginia",2024,B01001,B01001_034,Total:!!Female:!!22 to 24 years,54,25,28.14364516492176,Medium
51036,"Charles City County, Virginia",2024,B01001,B01001_035,Total:!!Female:!!25 to 29 years,141,21,9.053870529651425,High
51036,"Charles City County, Virginia",2024,B01001,B01001_036,Total:!!Female:!!30 to 34 years,159,11,4.205616409550573,High
51036,"Charles City County, Virginia",2024,B01001,B01001_037,Total:!!Female:!!35 to 39 years,152,39,15.597504399296112,Medium
51036,"Charles City County, Virginia",2024,B01001,B01001_038,Total:!!Female:!!40 to 44 years,175,39,13.547546678245768,High
51036,"Charles City County, Virginia",2024,B01001,B01001_039,Total:!!Female:!!45 to 49 years,196,14,4.342162396873643,High
51036,"Charles City County, Virginia",2024,B01001,B01001_040,Total:!!Female:!!50 to 54 years,228,10,2.6662400682557452,High
51036,"Charles City County, Virginia",2024,B01001,B01001_041,Total:!!Female:!!55 to 59 years,330,44,8.105369807497468,High
51036,"Charles City County, Virginia",2024,B01001,B01001_042,Total:!!Female:!!60 and 61 years,162,38,14.25944688356036,High
