geoid,name,year,table,variable,label,estimate,moe,cv,reliability
51036,"Charles City County, Virginia",2014,B19013,B19013_001,Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),48088,3539,4.473814218006603,High
51041,"Chesterfield County, Virginia",2014,B19013,B19013_001,Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),72514,992,0.8316180512422588,High
51075,"Goochland County, Virginia",2014,B19013,B19013_001,Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),82460,4541,3.347667138234841,High
51085,"Hanover County, Virginia",2014,B19013,B19013_001,Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),77550,2122,1.6634037457939672,High
51087,"Henrico County, Virginia",2014,B19013,B19013_001,Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),61438,1048,1.0369511814663577,High
51127,"New Kent County, Virginia",2014,B19013,B19013_001,Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),73030,5344,4.448353031418574,High
51145,"Powhatan County, Virginia",2014,B19013,B19013_001,Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),75447,4434,3.5726281091140573,High
51760,"Richmond city, Virginia",2014,B19013,B19013_001,Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),41331,939,1.3810957119184368,High
51,Virginia,2014,B19013,B19013_001,Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),64792,274,0.25707703041127444,High
5103368,"Ashland town, Virginia",2014,B19013,B19013_001,Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),41582,5106,7.464651454430174,High
51036,"Charles City County, Virginia",2019,B19013,B19013_001,Median household income in the past 12 months (in 2019 inflation-adjusted dollars),57198,5222,5.549963434222146,High
51041,"Chesterfield County, Virginia",2019,B19013,B19013_001,Median household income in the past 12 months (in 2019 inflation-adjusted dollars),82599,1297,0.9545513238953451,High
51075,"Goochland County, Virginia",2019,B19013,B19013_001,Median household income in the past 12 months (in 2019 inflation-adjusted dollars),93994,7165,4.63393737930501,High
51085,"Hanover County, Virginia",2019,B19013,B19013_001,Median household income in the past 12 months (in 2019 inflation-adjusted dollars),89390,2017,1.3716744799520968,High
51087,"Henrico County, Virginia",2019,B19013,B19013_001,Median household income in the past 12 months (in 2019 inflation-adjusted dollars),70307,1281,1.1076043697716003,High
51127,"New Kent County, Virginia",2019,B19013,B19013_001,Median household income in the past 12 months (in 2019 inflation-adjusted dollars),87904,6962,4.814591878623046,High
