geoid,name,year,table,variable,label,estimate,moe,cv,reliability
51036,"Charles City County, Virginia",2024,B25001,B25001_001,Total,3270,198,3.680878949276373,High
51041,"Chesterfield County, Virginia",2024,B25001,B25001_001,Total,145709,144,0.06007727314096772,High
51075,"Goochland County, Virginia",2024,B25001,B25001_001,Total,11208,27,0.14644337848128453,High
51085,"Hanover County, Virginia",2024,B25001,B25001_001,Total,44589,96,0.13088129945498164,High
51087,"Henrico County, Virginia",2024,B25001,B25001_001,Total,144916,115,0.04824092204426402,High
51127,"New Kent County, Virginia",2024,B25001,B25001_001,Total,9795,45,0.279281501789729,High
51145,"Powhatan County, Virginia",2024,B25001,B25001_001,Total,12021,30,0.15171019105622913,High
51760,"Richmond city, Virginia",2024,B25001,B25001_001,Total,114293,103,0.05478374157902753,High
51,Virginia,2024,B25001,B25001_001,Total,3684756,486,0.008017918404455619,High
5103368,"Ashland town, Virginia",2024,B25001,B25001_001,Total,3164,238,4.572719692282863,High
51036,"Charles City County, Virginia",2024,B25002,B25002_001,Total:,3270,198,3.680878949276373,High
51036,"Charles City County, Virginia",2024,B25002,B25002_002,Total:!!Occupied,2911,215,4.489834700992672,High
51036,"Charles City County, Virginia",2024,B25002,B25002_003,Total:!!Vacant,359,73,12.361253397228031,High
51041,"Chesterfield County, Virginia",2024,B25002,B25002_001,Total:,145709,144,0.06007727314096772,High
51041,"Chesterfield County, Virginia",2024,B25002,B25002_002,Total:!!Occupied,140155,557,0.24159096978930944,High
51041,"Chesterfield County, Virginia",2024,B25002,B25002_003,Total:!!Vacant,5554,569,6.227883625044192,High
51075,"Goochland County, Virginia",2024,B25002,B25002_001,Total:,11208,27,0.14644337848128453,High
51075,"Goochland County, Virginia",2024,B25002,B25002_002,Total:!!Occupied,10342,258,1.5165239390357377,High
51075,"Goochland County, Virginia",2024,B25002,B25002_003,Total:!!Vacant,866,259,18.18092477028156,Medium
51085,"Hanover County, Virginia",2024,B25002,B25002_001,Total:,44589,96,0.13088129945498164,High
51085,"Hanover County, Virginia",2024,B25002,B25002_002,Total:!!Occupied,42688,384,0.5468390424848366,High
51085,"Hanover County, Virginia",2024,B25002,B25002_003,Total:!!Vacant,1901,380,12.15165910119294,High
51087,"Henrico County, Virginia",2024,B25002,B25002_001,Total:,144916,115,0.04824092204426402,High
51087,"Henrico County, Virginia",2024,B25002,B25002_002,Total:!!Occupied,137365,837,0.3704106502134121,High
51087,"Henrico County, Virginia",2024,B25002,B25002_003,Total:!!Vacant,7551,864,6.955740478424525,High
51127,"New Kent County, Virginia",2024,B25002,B25002_001,Total:,9795,45,0.279281501789729,High
51127,"New Kent County, Virginia",2024,B25002,B25002_002,Total:!!Occupied,9263,232,1.5225459856467225,High
