geoid,name,year,table,variable,tenure,estimate,moe,cv,reliability,share
51036,"Charles City County, Virginia",2014,B25003,B25003_001,Total,2832,106,2.2753421599436745,High,1
51036,"Charles City County, Virginia",2014,B25003,B25003_002,Owner,2279,126,3.3609365809939042,High,0.804731638418079
51036,"Charles City County, Virginia",2014,B25003,B25003_003,Renter,553,89,9.783606413208968,High,0.1952683615819209
51041,"Chesterfield County, Virginia",2014,B25003,B25003_001,Total,115005,782,0.41335588818723223,High,1
51041,"Chesterfield County, Virginia",2014,B25003,B25003_002,Owner,88056,873,0.6026836196805404,High,0.7656710577800965
51041,"Chesterfield County, Virginia",2014,B25003,B25003_003,Renter,26949,907,2.045967498441557,High,0.23432894221990347
51075,"Goochland County, Virginia",2014,B25003,B25003_001,Total,8212,247,1.82844588022273,High,1
51075,"Goochland County, Virginia",2014,B25003,B25003_002,Owner,7194,266,2.2477359974919997,High,0.8760350706283487
51075,"Goochland County, Virginia",2014,B25003,B25003_003,Renter,1018,200,11.943079284131827,High,0.12396492937165124
51085,"Hanover County, Virginia",2014,B25003,B25003_001,Total,37041,383,0.6285649623940087,High,1
51085,"Hanover County, Virginia",2014,B25003,B25003_002,Owner,30490,556,1.1085402458925693,High,0.8231419238141519
51085,"Hanover County, Virginia",2014,B25003,B25003_003,Renter,6551,561,5.205822540840421,High,0.17685807618584812
51087,"Henrico County, Virginia",2014,B25003,B25003_001,Total,123821,1010,0.49586238434347407,High,1
51087,"Henrico County, Virginia",2014,B25003,B25003_002,Owner,79065,1115,0.8572839437829325,High,0.6385427350772486
51087,"Henrico County, Virginia",2014,B25003,B25003_003,Renter,44756,1293,1.7562298621013204,High,0.3614572649227514
51127,"New Kent County, Virginia",2014,B25003,B25003_001,Total,7106,218,1.8649422509510776,High,1
51127,"New Kent County, Virginia",2014,B25003,B25003_002,Owner,6253,310,3.013750967924454,High,0.879960596678863
51127,"New Kent County, Virginia",2014,B25003,B25003_003,Renter,853,220,15.678616860927102,Medium,0.12003940332113706
51145,"Powhatan County, Virginia",2014,B25003,B25003_001,Total,9590,247,1.5657140321573573,High,1
51145,"Powhatan County, Virginia",2014,B25003,B25003_002,Owner,8425,289,2.0852687308902977,High,0.87851929092805
51145,"Powhatan County, Virginia",2014,B25003,B25003_003,Renter,1165,230,12.001513234277365,High,0.12148070907194995
51760,"Richmond city, Virginia",2014,B25003,B25003_001,Total,85913,1272,0.9000410643735621,High,1
51760,"Richmond city, Virginia",2014,B25003,B25003_002,Owner,36704,776,1.2852346414460347,High,0.42722288827069244
51760,"Richmond city, Virginia",2014,B25003,B25003_003,Renter,49209,1316,1.625718872563962,High,0.5727771117293076
51,Virginia,2014,B25003,B25003_001,Total,3041710,9225,0.184366778409589,High,1
51,Virginia,2014,B25003,B25003_002,Owner,2028244,12264,0.3675750624153785,High,0.6668104454402294
51,Virginia,2014,B25003,B25003_003,Renter,1013466,5608,0.3363821323096616,High,0.3331895545597707
51036,"Charles City County, Virginia",2019,B25003,B25003_001,Total,2896,93,1.9521738400308992,High,1
51036,"Charles City County, Virginia",2019,B25003,B25003_002,Owner,2430,101,2.526673921472976,High,0.8390883977900553
51036,"Charles City County, Virginia",2019,B25003,B25003_003,Renter,466,85,11.088354618625827,High,0.16091160220994474
51041,"Chesterfield County, Virginia",2019,B25003,B25003_001,Total,124971,690,0.33564017855181916,High,1
51041,"Chesterfield County, Virginia",2019,B25003,B25003_002,Owner,94698,968,0.6213962787221653,High,0.7577598002736635
51041,"Chesterfield County, Virginia",2019,B25003,B25003_003,Renter,30273,996,2.0000367476631347,High,0.2422401997263365
51075,"Goochland County, Virginia",2019,B25003,B25003_001,Total,8506,276,1.9725035858828774,High,1
51075,"Goochland County, Virginia",2019,B25003,B25003_002,Owner,7220,255,2.1470248970691004,High,0.8488126028685634
51075,"Goochland County, Virginia",2019,B25003,B25003_003,Renter,1286,237,11.203184162384717,High,0.15118739713143664
51085,"Hanover County, Virginia",2019,B25003,B25003_001,Total,38987,377,0.5878352561289427,High,1
51085,"Hanover County, Virginia",2019,B25003,B25003_002,Owner,32174,485,0.9163698226758265,High,0.8252494421217329
51085,"Hanover County, Virginia",2019,B25003,B25003_003,Renter,6813,504,4.497034767700049,High,0.17475055787826713
51087,"Henrico County, Virginia",2019,B25003,B25003_001,Total,128464,906,0.42872701956925896,High,1
51087,"Henrico County, Virginia",2019,B25003,B25003_002,Owner,80489,1180,0.891209019820753,High,0.6265490721135882
51087,"Henrico County, Virginia",2019,B25003,B25003_003,Renter,47975,1279,1.6206515868352152,High,0.37345092788641177
51127,"New Kent County, Virginia",2019,B25003,B25003_001,Total,7961,227,1.7333742114388193,High,1
51127,"New Kent County, Virginia",2019,B25003,B25003_002,Owner,6886,324,2.8603033157448223,High,0.8649667127245321
51127,"New Kent County, Virginia",2019,B25003,B25003_003,Renter,1075,234,13.232487453170283,High,0.1350332872754679
51145,"Powhatan County, Virginia",2019,B25003,B25003_001,Total,10265,261,1.5456659910546802,High,1
51145,"Powhatan County, Virginia",2019,B25003,B25003_002,Owner,9253,334,2.1943101013488766,High,0.9014125669751583
51145,"Powhatan County, Virginia",2019,B25003,B25003_003,Renter,1012,247,14.83715174742002,High,0.0985874330248417
51760,"Richmond city, Virginia",2019,B25003,B25003_001,Total,90301,863,0.5809681629110126,High,1
51760,"Richmond city, Virginia",2019,B25003,B25003_002,Owner,38494,860,1.3581242598420187,High,0.4262854231957564
51760,"Richmond city, Virginia",2019,B25003,B25003_003,Renter,51807,1057,1.2402825708675693,High,0.5737145768042435
51,Virginia,2019,B25003,B25003_001,Total,3151045,7497,0.14463286968325234,High,1
51,Virginia,2019,B25003,B25003_002,Owner,2087711,12137,0.35340693714406624,High,0.662545599951762
51,Virginia,2019,B25003,B25003_003,Renter,1063334,7563,0.4323729316524959,High,0.33745440004823796
51036,"Charles City County, Virginia",2022,B25003,B25003_001,Total,2905,92,1.9251997133126513,High,1
51036,"Charles City County, Virginia",2022,B25003,B25003_002,Owner,2459,106,2.620483528654122,High,0.8464716006884682
51036,"Charles City County, Virginia",2022,B25003,B25003_003,Renter,446,91,12.40339662245969,High,0.15352839931153184
51041,"Chesterfield County, Virginia",2022,B25003,B25003_001,Total,134144,636,0.2882172440195828,High,1
51041,"Chesterfield County, Virginia",2022,B25003,B25003_002,Owner,103831,1173,0.6867601282994381,High,0.774026419370229
51041,"Chesterfield County, Virginia",2022,B25003,B25003_003,Renter,30313,1163,2.332302581265353,High,0.225973580629771
51075,"Goochland County, Virginia",2022,B25003,B25003_001,Total,9788,245,1.5216200471267465,High,1
51075,"Goochland County, Virginia",2022,B25003,B25003_002,Owner,8272,289,2.123838135608167,High,0.8451164691458929
51075,"Goochland County, Virginia",2022,B25003,B25003_003,Renter,1516,272,10.90696201008894,High,0.15488353085410708
51085,"Hanover County, Virginia",2022,B25003,B25003_001,Total,41383,343,0.5038557820792894,High,1
51085,"Hanover County, Virginia",2022,B25003,B25003_002,Owner,34360,606,1.072145104047613,High,0.8302926322402919
51085,"Hanover County, Virginia",2022,B25003,B25003_003,Renter,7023,544,4.708800913368883,High,0.1697073677597081
51087,"Henrico County, Virginia",2022,B25003,B25003_001,Total,134094,831,0.37672615721231345,High,1
51087,"Henrico County, Virginia",2022,B25003,B25003_002,Owner,86570,1291,0.9065524218677858,High,0.6455918982206512
51087,"Henrico County, Virginia",2022,B25003,B25003_003,Renter,47524,1185,1.5157914772353702,High,0.35440810177934884
51127,"New Kent County, Virginia",2022,B25003,B25003_001,Total,8675,267,1.8710089959093579,High,1
51127,"New Kent County, Virginia",2022,B25003,B25003_002,Owner,8011,326,2.4738021694334424,High,0.9234582132564841
51127,"New Kent County, Virginia",2022,B25003,B25003_003,Renter,664,218,19.95825246273849,Medium,0.07654178674351585
51145,"Powhatan County, Virginia",2022,B25003,B25003_001,Total,11077,242,1.3280893924896544,High,1
51145,"Powhatan County, Virginia",2022,B25003,B25003_002,Owner,10099,338,2.034569012972183,High,0.9117089464656496
51145,"Powhatan County, Virginia",2022,B25003,B25003_003,Renter,978,268,16.658275371237124,Medium,0.08829105353435046
51760,"Richmond city, Virginia",2022,B25003,B25003_001,Total,101201,769,0.46192943117895713,High,1
51760,"Richmond city, Virginia",2022,B25003,B25003_002,Owner,43752,1130,1.570054148805564,High,0.43232774379699807
51760,"Richmond city, Virginia",2022,B25003,B25003_003,Renter,57449,1124,1.1893726170551906,High,0.567672256203002
51,Virginia,2022,B25003,B25003_001,Total,3289776,7149,0.13210311755374696,High,1
51,Virginia,2022,B25003,B25003_002,Owner,2199299,11957,0.3305004462384852,High,0.6685254558365068
51,Virginia,2022,B25003,B25003_003,Renter,1090477,7227,0.4028799387707227,High,0.3314745441634932
51036,"Charles City County, Virginia",2024,B25003,B25003_001,Total,2911,215,4.489834700992672,High,1
51036,"Charles City County, Virginia",2024,B25003,B25003_002,Owner,2511,213,5.156642081830825,High,0.8625901751975267
51036,"Charles City County, Virginia",2024,B25003,B25003_003,Renter,400,76,11.55015197568389,High,0.13740982480247338
51041,"Chesterfield County, Virginia",2024,B25003,B25003_001,Total,140155,557,0.24159096978930944,High,1
51041,"Chesterfield County, Virginia",2024,B25003,B25003_002,Owner,107538,1185,0.6698699451741127,High,0.7672790838714281
51041,"Chesterfield County, Virginia",2024,B25003,B25003_003,Renter,32617,1192,2.221602418340968,High,0.23272091612857193
51075,"Goochland County, Virginia",2024,B25003,B25003_001,Total,10342,258,1.5165239390357377,High,1
51075,"Goochland County, Virginia",2024,B25003,B25003_002,Owner,8784,334,2.311469873381279,High,0.8493521562560433
51075,"Goochland County, Virginia",2024,B25003,B25003_003,Renter,1558,249,9.71551868774167,High,0.15064784374395668
51085,"Hanover County, Virginia",2024,B25003,B25003_001,Total,42688,384,0.5468390424848366,High,1
51085,"Hanover County, Virginia",2024,B25003,B25003_002,Owner,35055,611,1.059559467775129,High,0.8211909670164917
51085,"Hanover County, Virginia",2024,B25003,B25003_003,Renter,7633,544,4.332491656568802,High,0.17880903298350825
51087,"Henrico County, Virginia",2024,B25003,B25003_001,Total,137365,837,0.3704106502134121,High,1
51087,"Henrico County, Virginia",2024,B25003,B25003_002,Owner,88571,1494,1.0253996081449812,High,0.6447857896844175
51087,"Henrico County, Virginia",2024,B25003,B25003_003,Renter,48794,1353,1.685642499520034,High,0.3552142103155826
51127,"New Kent County, Virginia",2024,B25003,B25003_001,Total,9263,232,1.5225459856467225,High,1
51127,"New Kent County, Virginia",2024,B25003,B25003_002,Owner,8582,296,2.096704844167371,High,0.9264817013926374
51127,"New Kent County, Virginia",2024,B25003,B25003_003,Renter,681,208,18.567366959906092,Medium,0.07351829860736263
51145,"Powhatan County, Virginia",2024,B25003,B25003_001,Total,11325,245,1.3151096707529002,High,1
51145,"Powhatan County, Virginia",2024,B25003,B25003_002,Owner,10559,298,1.7156455648978917,High,0.9323620309050773
51145,"Powhatan County, Virginia",2024,B25003,B25003_003,Renter,766,226,17.935511519201313,Medium,0.06763796909492274
51760,"Richmond city, Virginia",2024,B25003,B25003_001,Total,104321,766,0.4463660197282709,High,1
51760,"Richmond city, Virginia",2024,B25003,B25003_002,Owner,45407,1051,1.4070644946285549,High,0.4352623153535721
51760,"Richmond city, Virginia",2024,B25003,B25003_003,Renter,58914,1197,1.235121659483459,High,0.5647376846464278
51,Virginia,2024,B25003,B25003_001,Total,3365732,7402,0.13369145400264248,High,1
51,Virginia,2024,B25003,B25003_002,Owner,2266609,13049,0.3499731447440905,High,0.6734371601779345
51,Virginia,2024,B25003,B25003_003,Renter,1099123,8702,0.4812900471433336,High,0.32656283982206546
