geoid,name,year,table,race,race_group,variable,tenure,estimate,moe,cv,reliability,total_hh,owner_rate
51036,"Charles City County, Virginia",2014,B25003A,White alone,NA,B25003A_001,Total,1327,58,2.6569976384788228,High,1327,0.8003014318010551
51036,"Charles City County, Virginia",2014,B25003A,White alone,NA,B25003A_002,Owner,1062,66,3.7779266051894975,High,1327,0.8003014318010551
51036,"Charles City County, Virginia",2014,B25003A,White alone,NA,B25003A_003,Renter,265,65,14.910821815679304,High,1327,0.8003014318010551
51041,"Chesterfield County, Virginia",2014,B25003A,White alone,NA,B25003A_001,Total,84280,800,0.5770315477572947,High,84280,0.8038680588514475
51041,"Chesterfield County, Virginia",2014,B25003A,White alone,NA,B25003A_002,Owner,67750,822,0.7375587433685887,High,84280,0.8038680588514475
51041,"Chesterfield County, Virginia",2014,B25003A,White alone,NA,B25003A_003,Renter,16530,685,2.5191371679381875,High,84280,0.8038680588514475
51075,"Goochland County, Virginia",2014,B25003A,White alone,NA,B25003A_001,Total,6730,186,1.6800877981365476,High,6730,0.9032689450222883
51075,"Goochland County, Virginia",2014,B25003A,White alone,NA,B25003A_002,Owner,6079,236,2.36001062004779,High,6730,0.9032689450222883
51075,"Goochland County, Virginia",2014,B25003A,White alone,NA,B25003A_003,Renter,651,152,14.19373514676976,High,6730,0.9032689450222883
51085,"Hanover County, Virginia",2014,B25003A,White alone,NA,B25003A_001,Total,32692,365,0.6787119126399216,High,32692,0.8395020188425303
51085,"Hanover County, Virginia",2014,B25003A,White alone,NA,B25003A_002,Owner,27445,485,1.074267905803317,High,32692,0.8395020188425303
51085,"Hanover County, Virginia",2014,B25003A,White alone,NA,B25003A_003,Renter,5247,505,5.850788668933992,High,32692,0.8395020188425303
51087,"Henrico County, Virginia",2014,B25003A,White alone,NA,B25003A_001,Total,77319,891,0.7005281203662983,High,77319,0.7179218562061072
51087,"Henrico County, Virginia",2014,B25003A,White alone,NA,B25003A_002,Owner,55509,973,1.0655738019098302,High,77319,0.7179218562061072
51087,"Henrico County, Virginia",2014,B25003A,White alone,NA,B25003A_003,Renter,21810,946,2.636753726923179,High,77319,0.7179218562061072
51127,"New Kent County, Virginia",2014,B25003A,White alone,NA,B25003A_001,Total,6082,197,1.96903714083813,High,6082,0.870437356132851
51127,"New Kent County, Virginia",2014,B25003A,White alone,NA,B25003A_002,Owner,5294,281,3.2266843349642826,High,6082,0.870437356132851
51127,"New Kent County, Virginia",2014,B25003A,White alone,NA,B25003A_003,Renter,788,218,16.81761375032787,Medium,6082,0.870437356132851
51145,"Powhatan County, Virginia",2014,B25003A,White alone,NA,B25003A_001,Total,8727,223,1.5533666784736466,High,8727,0.8872464764523892
51145,"Powhatan County, Virginia",2014,B25003A,White alone,NA,B25003A_002,Owner,7743,254,1.994153362170047,High,8727,0.8872464764523892
51145,"Powhatan County, Virginia",2014,B25003A,White alone,NA,B25003A_003,Renter,984,205,12.664640324214794,High,8727,0.8872464764523892
51760,"Richmond city, Virginia",2014,B25003A,White alone,NA,B25003A_001,Total,41732,920,1.3401478882328315,High,41732,0.516150675740439
51760,"Richmond city, Virginia",2014,B25003A,White alone,NA,B25003A_002,Owner,21540,553,1.5606787964993383,High,41732,0.516150675740439
51760,"Richmond city, Virginia",2014,B25003A,White alone,NA,B25003A_003,Renter,20192,900,2.7095506240396148,High,41732,0.516150675740439
51,Virginia,2014,B25003A,White alone,NA,B25003A_001,Total,2225551,7144,0.19513626705733292,High,2225551,0.722305622293086
51,Virginia,2014,B25003A,White alone,NA,B25003A_002,Owner,1607528,9011,0.340759946336983,High,2225551,0.722305622293086
51,Virginia,2014,B25003A,White alone,NA,B25003A_003,Renter,618023,4597,0.4521723099916895,High,2225551,0.722305622293086
51036,"Charles City County, Virginia",2019,B25003A,White alone,NA,B25003A_001,Total,1342,63,2.853790785426642,High,1342,0.8263785394932935
51036,"Charles City County, Virginia",2019,B25003A,White alone,NA,B25003A_002,Owner,1109,64,3.5081853089258646,High,1342,0.8263785394932935
51036,"Charles City County, Virginia",2019,B25003A,White alone,NA,B25003A_003,Renter,233,54,14.088732927195169,High,1342,0.8263785394932935
51041,"Chesterfield County, Virginia",2019,B25003A,White alone,NA,B25003A_001,Total,88560,595,0.40842607007630355,High,88560,0.8098125564588979
51041,"Chesterfield County, Virginia",2019,B25003A,White alone,NA,B25003A_002,Owner,71717,746,0.6323402271839079,High,88560,0.8098125564588979
51041,"Chesterfield County, Virginia",2019,B25003A,White alone,NA,B25003A_003,Renter,16843,823,2.970396908910415,High,88560,0.8098125564588979
51075,"Goochland County, Virginia",2019,B25003A,White alone,NA,B25003A_001,Total,7133,241,2.0538982093160905,High,7133,0.8648534978270013
