geoid,name,year,race_group,tenure,estimate,moe,cv,reliability,rate_reliability,total_hh,owner_rate
51,Virginia,2014,"White, non-Hispanic",Owner,1553334,8080,0.3162136477630352,High,High,2111460,0.735668210622034
51,Virginia,2014,"White, non-Hispanic",Renter,558126,4468,0.4866480727456527,High,High,2111460,0.735668210622034
51,Virginia,2014,"White, non-Hispanic",Total,2111460,6422,0.1848934560816286,High,High,2111460,0.735668210622034
51,Virginia,2014,Black,Owner,275144,3304,0.7299852580095776,High,High,565192,0.4868151000014154
51,Virginia,2014,Black,Renter,290048,2866,0.6006761777780162,High,High,565192,0.4868151000014154
51,Virginia,2014,Black,Total,565192,3269,0.351603356479425,High,High,565192,0.4868151000014154
51,Virginia,2014,Hispanic or Latino,Owner,79127,2213,1.7001639816995362,High,High,173980,0.45480515001724336
51,Virginia,2014,Hispanic or Latino,Renter,94853,1852,1.186926998894498,High,High,173980,0.45480515001724336
51,Virginia,2014,Hispanic or Latino,Total,173980,2225,0.7774362493540291,High,High,173980,0.45480515001724336
51,Virginia,2014,Asian,Owner,92651,1573,1.0320784481975518,High,High,142424,0.6505294051564343
51,Virginia,2014,Asian,Renter,49773,1411,1.723325417150703,High,High,142424,0.6505294051564343
51,Virginia,2014,Asian,Total,142424,1656,0.7068239412537111,High,High,142424,0.6505294051564343
51,Virginia,2014,Multiracial,Owner,28737,1202,2.542711793666342,High,High,53616,0.5359780662488809
51,Virginia,2014,Multiracial,Renter,24879,1062,2.5949302832395724,High,High,53616,0.5359780662488809
51,Virginia,2014,Multiracial,Total,53616,1678,1.9025305697432784,High,High,53616,0.5359780662488809
51,Virginia,2014,Another race,Owner,24184,1096.643515459787,2.756585316674963,High,High,54927,0.4402934804376718
51,Virginia,2014,Another race,Renter,30743,1425.0364907608507,2.817823833099033,High,High,54927,0.4402934804376718
51,Virginia,2014,Another race,Total,54927,1727.7757377622827,1.912210019523877,High,High,54927,0.4402934804376718
51,Virginia,2019,"White, non-Hispanic",Owner,1556644,7249,0.2830889355620929,High,High,2124497,0.7327117901319701
51,Virginia,2019,"White, non-Hispanic",Renter,567853,5042,0.5397603944515864,High,High,2124497,0.7327117901319701
51,Virginia,2019,"White, non-Hispanic",Total,2124497,5077,0.14527307821332994,High,High,2124497,0.7327117901319701
51,Virginia,2019,Black,Owner,282251,3401,0.7324959711913923,High,High,590176,0.47824886135661226
51,Virginia,2019,Black,Renter,307925,3591,0.7089319553151758,High,High,590176,0.47824886135661226
51,Virginia,2019,Black,Total,590176,3129,0.32229837532777816,High,High,590176,0.47824886135661226
51,Virginia,2019,Hispanic or Latino,Owner,100879,2245,1.352850089054596,High,High,204880,0.4923809058961343
51,Virginia,2019,Hispanic or Latino,Renter,104001,1911,1.1170105361098204,High,High,204880,0.4923809058961343
51,Virginia,2019,Hispanic or Latino,Total,204880,2175,0.6453477400663922,High,High,204880,0.4923809058961343
51,Virginia,2019,Asian,Owner,113367,1565,0.8391928701959258,High,High,168700,0.6720035566093657
51,Virginia,2019,Asian,Renter,55333,1513,1.6622211680295214,High,High,168700,0.6720035566093657
51,Virginia,2019,Asian,Total,168700,1851,0.6669993856110468,High,High,168700,0.6720035566093657
51,Virginia,2019,Multiracial,Owner,36756,1438,2.3782896227516646,High,High,70613,0.5205273816436067
51,Virginia,2019,Multiracial,Renter,33857,1410,2.531656251714142,High,High,70613,0.5205273816436067
51,Virginia,2019,Multiracial,Total,70613,1955,1.6830468157765794,High,High,70613,0.5205273816436067
51,Virginia,2019,Another race,Owner,30385,1277.557826479882,2.5559680683105452,High,High,65888,0.4611613647401651
51,Virginia,2019,Another race,Renter,35503,1503.951461982733,2.5751519812191614,High,High,65888,0.4611613647401651
51,Virginia,2019,Another race,Total,65888,1872.2179360320208,1.7273652332483722,High,High,65888,0.4611613647401651
51,Virginia,2024,"White, non-Hispanic",Owner,1594334,8677,0.3308448566281698,High,High,2141493,0.7444964797923691
51,Virginia,2024,"White, non-Hispanic",Renter,547159,5744,0.6381679389482598,High,High,2141493,0.7444964797923691
51,Virginia,2024,"White, non-Hispanic",Total,2141493,6516,0.18496881497740184,High,High,2141493,0.7444964797923691
51,Virginia,2024,Black,Owner,311166,3879,0.7578124574170059,High,High,629973,0.4939354543766161
51,Virginia,2024,Black,Renter,318807,3895,0.7427004912110453,High,High,629973,0.4939354543766161
51,Virginia,2024,Black,Total,629973,2958,0.2854370412372138,High,High,629973,0.4939354543766161
51,Virginia,2024,Hispanic or Latino,Owner,143414,3048,1.2919851186034286,High,High,269179,0.5327830179917453
51,Virginia,2024,Hispanic or Latino,Renter,125765,2601,1.2572297659901948,High,High,269179,0.5327830179917453
51,Virginia,2024,Hispanic or Latino,Total,269179,2814,0.6355021371921066,High,High,269179,0.5327830179917453
51,Virginia,2024,Asian,Owner,142072,2063,0.8827237903774463,High,High,201429,0.7053204851337196
51,Virginia,2024,Asian,Renter,59357,1549,1.5864031830887988,High,High,201429,0.7053204851337196
51,Virginia,2024,Asian,Total,201429,2112,0.6373911291361217,High,High,201429,0.7053204851337196
51,Virginia,2024,Multiracial,Owner,131379,2898,1.340931296219011,High,High,225835,0.5817477361790688
51,Virginia,2024,Multiracial,Renter,94456,3009,1.9365411739931722,High,High,225835,0.5817477361790688
51,Virginia,2024,Multiracial,Total,225835,3981,1.0716057255401317,High,High,225835,0.5817477361790688
51,Virginia,2024,Another race,Owner,58747,1862.1804423846793,1.926948754891789,High,High,115789,0.5073625301194414
