year,geoid,name,structure,bldgs,units,value
2000,51036,Charles City County,Multifamily,0,0,0
2000,51036,Charles City County,Single-family,44,44,4279213
2001,51036,Charles City County,Multifamily,0,0,0
2001,51036,Charles City County,Single-family,42,42,5309660
2002,51036,Charles City County,Multifamily,0,0,0
2002,51036,Charles City County,Single-family,30,30,3342706
2003,51036,Charles City County,Multifamily,0,0,0
2003,51036,Charles City County,Single-family,35,35,3911478
2004,51036,Charles City County,Multifamily,0,0,0
2004,51036,Charles City County,Single-family,44,44,7579984
2005,51036,Charles City County,Multifamily,0,0,0
2005,51036,Charles City County,Single-family,41,41,6463998
2006,51036,Charles City County,Multifamily,0,0,0
2006,51036,Charles City County,Single-family,38,38,5952019
2007,51036,Charles City County,Multifamily,0,0,0
2007,51036,Charles City County,Single-family,37,37,6108129
2008,51036,Charles City County,Multifamily,0,0,0
2008,51036,Charles City County,Single-family,30,30,4586020
2009,51036,Charles City County,Multifamily,0,0,0
2009,51036,Charles City County,Single-family,24,24,2936966
2010,51036,Charles City County,Multifamily,0,0,0
2010,51036,Charles City County,Single-family,43,43,6175569
2011,51036,Charles City County,Multifamily,0,0,0
2011,51036,Charles City County,Single-family,27,27,3936455
2012,51036,Charles City County,Multifamily,0,0,0
2012,51036,Charles City County,Single-family,18,18,2990383
2013,51036,Charles City County,Multifamily,0,0,0
2013,51036,Charles City County,Single-family,20,20,4421813
2014,51036,Charles City County,Multifamily,0,0,0
2014,51036,Charles City County,Single-family,18,18,2905380
2015,51036,Charles City County,Multifamily,0,0,0
2015,51036,Charles City County,Single-family,14,14,2669300
2016,51036,Charles City County,Multifamily,0,0,0
2016,51036,Charles City County,Single-family,17,17,3122500
2017,51036,Charles City County,Multifamily,0,0,0
2017,51036,Charles City County,Single-family,24,24,3898700
2018,51036,Charles City County,Multifamily,0,0,0
2018,51036,Charles City County,Single-family,17,17,2787325
2019,51036,Charles City County,Multifamily,0,0,0
2019,51036,Charles City County,Single-family,19,19,3476881
2020,51036,Charles City County,Multifamily,0,0,0
2020,51036,Charles City County,Single-family,20,20,3583738
2021,51036,Charles City County,Multifamily,0,0,0
2021,51036,Charles City County,Single-family,23,23,4147947
2022,51036,Charles City County,Multifamily,0,0,0
2022,51036,Charles City County,Single-family,21,21,3780306
2023,51036,Charles City County,Multifamily,0,0,0
2023,51036,Charles City County,Single-family,22,22,3961975
2024,51036,Charles City County,Multifamily,0,0,0
2024,51036,Charles City County,Single-family,30,30,6068667
2025,51036,Charles City County,Multifamily,0,0,0
2025,51036,Charles City County,Single-family,24,24,7062667
