geoid,name,source_table,measure,estimate,moe,cv,reliability
5103368,Ashland town,T17B,homes_vacant_lowest_rent_tier,0,38,NA,NA
5103368,Ashland town,T18C,homes_occupied_lowest_income,55,51.43928459844674,56.854694223207225,Low
5103368,Ashland town,T18C,homes_occupied_lowest_rent_tier,100,57.63679380395825,35.03756462246702,Low
5103368,Ashland town,T8,renters_income_not_computed,15,46.04345773288535,186.59962607045736,Low
5103368,Ashland town,T8,renters_low_income,814,197.98989873223331,14.786068925433584,High
5103368,Ashland town,T8,renters_low_income_burdened,449,141.98239327465924,19.22304794506661,Medium
5103368,Ashland town,T8,renters_lowest_income,330,113.55175031676086,20.917702922862826,Medium
5103368,Ashland town,derived,burden_rate,0.5515970515970516,NA,NA,Medium
5103368,Ashland town,derived,homes_available_lowest_income,55,63.953107821277925,70.68594398593856,Low
5103368,Ashland town,derived,homes_lowest_rent_tier,100,69.03622237637282,41.967308435484995,Low
5103368,Ashland town,derived,homes_occupied_higher_income,45,77.25283166331187,104.36046155124872,Low
5103368,Ashland town,derived,shortage_homes,230,132.89093272304171,35.12380936250607,Low
5103368,Ashland town,derived,shortage_homes_available,275,130.3226764611593,28.808549646014765,Medium
51036,Charles City County,T17B,homes_vacant_lowest_rent_tier,4,33.15116890850155,503.8171566641573,Low
51036,Charles City County,T18C,homes_occupied_lowest_income,110,54.71745608121781,30.238992031620786,Low
51036,Charles City County,T18C,homes_occupied_lowest_rent_tier,245,72.14568594171102,17.9010448338716,Medium
51036,Charles City County,T8,renters_income_not_computed,4,39.84971769034255,605.6188098836253,Low
51036,Charles City County,T8,renters_low_income,320,77.19455939378112,14.664619945627114,High
51036,Charles City County,T8,renters_low_income_burdened,155,59.60704656330491,23.377604299756804,Medium
51036,Charles City County,T8,renters_lowest_income,145,55.5517776493246,23.28970868853353,Medium
51036,Charles City County,derived,burden_rate,0.484375,NA,NA,Medium
51036,Charles City County,derived,homes_available_lowest_income,114,63.97655820689325,34.11537258406295,Low
51036,Charles City County,derived,homes_lowest_rent_tier,249,79.39773296511683,19.383975528891696,Medium
51036,Charles City County,derived,homes_occupied_higher_income,135,90.54832963671942,40.7737609531552,Low
51036,Charles City County,derived,shortage_homes,-104,96.90201236300514,NA,NA
51036,Charles City County,derived,shortage_homes_available,31,84.72897969408106,166.1515436691461,Low
51041,Chesterfield County,T17B,homes_vacant_lowest_rent_tier,20,65.77993615077473,199.93901565585023,Low
51041,Chesterfield County,T18C,homes_occupied_lowest_income,870,254.13775791881065,17.75759060327783,Medium
51041,Chesterfield County,T18C,homes_occupied_lowest_rent_tier,2255,444.65829577328253,11.987095094946927,High
51041,Chesterfield County,T8,renters_income_not_computed,530,213.21350801485352,24.455297128503013,Medium
51041,Chesterfield County,T8,renters_low_income,16890,1051.7689860420871,3.7855135807849725,High
51041,Chesterfield County,T8,renters_low_income_burdened,12680,900.3854730058677,4.316615079659554,High
51041,Chesterfield County,T8,renters_lowest_income,5005,586.0443669211402,7.118041434810056,High
51041,Chesterfield County,derived,burden_rate,0.7507400828892836,NA,NA,High
51041,Chesterfield County,derived,homes_available_lowest_income,890,262.51285682800375,17.930593683822533,Medium
51041,Chesterfield County,derived,homes_lowest_rent_tier,2275,449.49749721216466,12.011022337744471,High
51041,Chesterfield County,derived,homes_occupied_higher_income,1385,512.1591549508805,22.47963547566219,Medium
51041,Chesterfield County,derived,shortage_homes,2730,738.5770102027276,16.446263184090487,Medium
51041,Chesterfield County,derived,shortage_homes_available,4115,642.153408462495,9.486435325759713,High
51075,Goochland County,T17B,homes_vacant_lowest_rent_tier,0,50,NA,NA
51075,Goochland County,T18C,homes_occupied_lowest_income,125,87.44712688247682,42.52747811913766,Low
51075,Goochland County,T18C,homes_occupied_lowest_rent_tier,340,122.22929272478018,21.85397688624713,Medium
51075,Goochland County,T8,renters_income_not_computed,55,75.07329751649384,82.9768416871996,Low
51075,Goochland County,T8,renters_low_income,725,183.92117876960228,15.421543131294605,Medium
51075,Goochland County,T8,renters_low_income_burdened,400,144.3606594609487,21.93930994847245,Medium
51075,Goochland County,T8,renters_lowest_income,220,99.00505037623081,27.357018617361373,Medium
51075,Goochland County,derived,burden_rate,0.5517241379310345,NA,NA,Medium
51075,Goochland County,derived,homes_available_lowest_income,125,100.7323185477233,48.98836160375601,Low
51075,Goochland County,derived,homes_lowest_rent_tier,340,132.06059215375342,23.6117633030133,Medium
51075,Goochland County,derived,homes_occupied_higher_income,215,150.2897202073382,42.49373583299306,Low
51075,Goochland County,derived,shortage_homes,-120,165.05150711217394,NA,NA
51075,Goochland County,derived,shortage_homes_available,95,141.2409289122668,90.37973374645132,Low
51085,Hanover County,T17B,homes_vacant_lowest_rent_tier,0,62,NA,NA
51085,Hanover County,T18C,homes_occupied_lowest_income,625,210.04999404903586,20.430394557960934,Medium
