geoid,locality,month,year,filings_count,percent_of_historical_average,defaults_count
51041,Chesterfield,2016-01-01,2016,748,104.25,4
51041,Chesterfield,2016-02-01,2016,545,91.83,301
51041,Chesterfield,2016-03-01,2016,406,78.57,225
51041,Chesterfield,2016-04-01,2016,513,98.65,169
51041,Chesterfield,2016-05-01,2016,604,100.58,227
51041,Chesterfield,2016-06-01,2016,622,98.77,252
51041,Chesterfield,2016-07-01,2016,669,104.86,277
51041,Chesterfield,2016-08-01,2016,569,90.61,263
51041,Chesterfield,2016-09-01,2016,739,108.48,240
51041,Chesterfield,2016-10-01,2016,606,98.18,311
51041,Chesterfield,2016-11-01,2016,582,92.13,243
51041,Chesterfield,2016-12-01,2016,642,113.48,255
51041,Chesterfield,2017-01-01,2017,734,102.3,275
51041,Chesterfield,2017-02-01,2017,637,107.33,311
51041,Chesterfield,2017-03-01,2017,542,104.89,205
51041,Chesterfield,2017-04-01,2017,554,106.54,203
51041,Chesterfield,2017-05-01,2017,624,103.91,230
51041,Chesterfield,2017-06-01,2017,661,104.96,305
51041,Chesterfield,2017-07-01,2017,628,98.43,293
51041,Chesterfield,2017-08-01,2017,658,104.78,259
51041,Chesterfield,2017-09-01,2017,715,104.95,266
51041,Chesterfield,2017-10-01,2017,653,105.79,290
51041,Chesterfield,2017-11-01,2017,643,101.78,291
51041,Chesterfield,2017-12-01,2017,625,110.47,262
51041,Chesterfield,2018-01-01,2018,659,91.85,239
51041,Chesterfield,2018-02-01,2018,605,101.94,285
51041,Chesterfield,2018-03-01,2018,545,105.47,215
51041,Chesterfield,2018-04-01,2018,537,103.27,237
51041,Chesterfield,2018-05-01,2018,574,95.59,223
51041,Chesterfield,2018-06-01,2018,648,102.9,230
51041,Chesterfield,2018-07-01,2018,672,105.33,286
51041,Chesterfield,2018-08-01,2018,669,106.53,257
51041,Chesterfield,2018-09-01,2018,675,99.08,284
51041,Chesterfield,2018-10-01,2018,635,102.88,302
51041,Chesterfield,2018-11-01,2018,643,101.78,274
51041,Chesterfield,2018-12-01,2018,499,88.2,243
51041,Chesterfield,2019-01-01,2019,729,101.6,256
51041,Chesterfield,2019-02-01,2019,587,98.9,293
51041,Chesterfield,2019-03-01,2019,574,111.08,230
51041,Chesterfield,2019-04-01,2019,476,91.54,276
51041,Chesterfield,2019-05-01,2019,600,99.92,216
51041,Chesterfield,2019-06-01,2019,588,93.37,300
51041,Chesterfield,2019-07-01,2019,583,91.38,296
51041,Chesterfield,2019-08-01,2019,616,98.09,271
51041,Chesterfield,2019-09-01,2019,596,87.49,284
51041,Chesterfield,2019-10-01,2019,575,93.16,304
51041,Chesterfield,2019-11-01,2019,659,104.31,248
51041,Chesterfield,2019-12-01,2019,497,87.85,278
51041,Chesterfield,2020-01-01,2020,626,87.25,267
51041,Chesterfield,2020-02-01,2020,487,82.06,320
51041,Chesterfield,2020-03-01,2020,294,56.89,146
51041,Chesterfield,2020-04-01,2020,1,0.19,1
51041,Chesterfield,2020-05-01,2020,43,7.16,0
51041,Chesterfield,2020-06-01,2020,85,13.5,9
51041,Chesterfield,2020-07-01,2020,126,19.75,76
51041,Chesterfield,2020-08-01,2020,138,21.97,62
51041,Chesterfield,2020-09-01,2020,438,64.29,72
51041,Chesterfield,2020-10-01,2020,392,63.51,173
51041,Chesterfield,2020-11-01,2020,119,18.84,45
51041,Chesterfield,2020-12-01,2020,46,8.13,7
51041,Chesterfield,2021-01-01,2021,90,12.54,13
51041,Chesterfield,2021-02-01,2021,92,15.5,24
51041,Chesterfield,2021-03-01,2021,130,25.16,65
51041,Chesterfield,2021-04-01,2021,144,27.69,57
51041,Chesterfield,2021-05-01,2021,102,16.99,37
51041,Chesterfield,2021-06-01,2021,149,23.66,46
51041,Chesterfield,2021-07-01,2021,127,19.91,49
51041,Chesterfield,2021-08-01,2021,275,43.79,39
51041,Chesterfield,2021-09-01,2021,127,18.64,49
51041,Chesterfield,2021-10-01,2021,195,31.59,45
51041,Chesterfield,2021-11-01,2021,198,31.34,49
51041,Chesterfield,2021-12-01,2021,143,25.28,47
51041,Chesterfield,2022-01-01,2022,346,48.22,77
51041,Chesterfield,2022-02-01,2022,424,71.44,120
51041,Chesterfield,2022-03-01,2022,486,94.05,195
51041,Chesterfield,2022-04-01,2022,305,58.65,197
51041,Chesterfield,2022-05-01,2022,396,65.95,130
51041,Chesterfield,2022-06-01,2022,334,53.04,163
51041,Chesterfield,2022-07-01,2022,532,83.39,166
51041,Chesterfield,2022-08-01,2022,790,125.8,188
51041,Chesterfield,2022-09-01,2022,575,84.4,305
51041,Chesterfield,2022-10-01,2022,604,97.85,209
51041,Chesterfield,2022-11-01,2022,518,81.99,219
51041,Chesterfield,2022-12-01,2022,626,110.65,171
51041,Chesterfield,2023-01-01,2023,669,93.24,242
51041,Chesterfield,2023-02-01,2023,571,96.21,231
51041,Chesterfield,2023-03-01,2023,637,123.27,201
51041,Chesterfield,2023-04-01,2023,525,100.96,230
51041,Chesterfield,2023-05-01,2023,708,117.9,217
51041,Chesterfield,2023-06-01,2023,583,92.58,295
51041,Chesterfield,2023-07-01,2023,620,97.18,201
51041,Chesterfield,2023-08-01,2023,637,101.43,221
51041,Chesterfield,2023-09-01,2023,506,74.28,244
51041,Chesterfield,2023-10-01,2023,730,118.27,229
51041,Chesterfield,2023-11-01,2023,504,79.78,241
51041,Chesterfield,2023-12-01,2023,694,122.67,134
51041,Chesterfield,2024-01-01,2024,669,93.24,260
51041,Chesterfield,2024-02-01,2024,570,96.04,274
51041,Chesterfield,2024-03-01,2024,603,116.69,223
51041,Chesterfield,2024-04-01,2024,543,104.42,190
51041,Chesterfield,2024-05-01,2024,558,92.92,207
51041,Chesterfield,2024-06-01,2024,635,100.83,236
51041,Chesterfield,2024-07-01,2024,506,79.31,232
51041,Chesterfield,2024-08-01,2024,726,115.61,220
51041,Chesterfield,2024-09-01,2024,647,94.97,256
51041,Chesterfield,2024-10-01,2024,641,103.85,266
51041,Chesterfield,2024-11-01,2024,610,96.56,245
51041,Chesterfield,2024-12-01,2024,541,95.63,205
51041,Chesterfield,2025-01-01,2025,827,115.26,253
51041,Chesterfield,2025-02-01,2025,677,114.07,196
51041,Chesterfield,2025-03-01,2025,494,95.6,273
51041,Chesterfield,2025-04-01,2025,528,101.54,184
51041,Chesterfield,2025-05-01,2025,657,109.41,241
51041,Chesterfield,2025-06-01,2025,627,99.56,269
51041,Chesterfield,2025-07-01,2025,706,110.66,219
51041,Chesterfield,2025-08-01,2025,669,106.53,251
51041,Chesterfield,2025-09-01,2025,504,73.98,250
51041,Chesterfield,2025-10-01,2025,730,118.27,230
51041,Chesterfield,2025-11-01,2025,624,98.77,247
51041,Chesterfield,2025-12-01,2025,521,92.09,222
51041,Chesterfield,2026-01-01,2026,679,94.63,232
51041,Chesterfield,2026-02-01,2026,640,107.83,263
51041,Chesterfield,2026-03-01,2026,603,116.69,194
51041,Chesterfield,2026-04-01,2026,597,114.81,195
51041,Chesterfield,2026-05-01,2026,556,92.59,236
51041,Chesterfield,2026-06-01,2026,649,103.06,256
51085,Hanover,2016-01-01,2016,61,94.94,NA
51085,Hanover,2016-02-01,2016,74,109.23,21
51085,Hanover,2016-03-01,2016,56,112.56,21
51085,Hanover,2016-04-01,2016,40,82.05,16
51085,Hanover,2016-05-01,2016,74,132.74,15
51085,Hanover,2016-06-01,2016,65,117.65,27
51085,Hanover,2016-07-01,2016,55,92.05,16
51085,Hanover,2016-08-01,2016,77,110.79,13
51085,Hanover,2016-09-01,2016,82,124.71,21
51085,Hanover,2016-10-01,2016,71,115.92,36
51085,Hanover,2016-11-01,2016,99,141.94,19
51085,Hanover,2016-12-01,2016,53,97.25,20
51085,Hanover,2017-01-01,2017,67,104.28,20
51085,Hanover,2017-02-01,2017,73,107.75,24
51085,Hanover,2017-03-01,2017,55,110.55,17
51085,Hanover,2017-04-01,2017,61,125.13,8
51085,Hanover,2017-05-01,2017,53,95.07,29
51085,Hanover,2017-06-01,2017,66,119.46,20
51085,Hanover,2017-07-01,2017,73,122.18,20
51085,Hanover,2017-08-01,2017,73,105.04,24
51085,Hanover,2017-09-01,2017,101,153.61,24
51085,Hanover,2017-10-01,2017,62,101.22,33
51085,Hanover,2017-11-01,2017,61,87.46,22
51085,Hanover,2017-12-01,2017,59,108.26,16
51085,Hanover,2018-01-01,2018,65,101.17,21
51085,Hanover,2018-02-01,2018,73,107.75,25
51085,Hanover,2018-03-01,2018,51,102.51,26
51085,Hanover,2018-04-01,2018,56,114.87,15
51085,Hanover,2018-05-01,2018,52,93.27,13
51085,Hanover,2018-06-01,2018,63,114.03,28
51085,Hanover,2018-07-01,2018,52,87.03,37
51085,Hanover,2018-08-01,2018,73,105.04,22
51085,Hanover,2018-09-01,2018,36,54.75,22
51085,Hanover,2018-10-01,2018,68,111.02,31
51085,Hanover,2018-11-01,2018,59,84.59,12
51085,Hanover,2018-12-01,2018,50,91.74,28
51085,Hanover,2019-01-01,2019,64,99.61,23
51085,Hanover,2019-02-01,2019,51,75.28,24
51085,Hanover,2019-03-01,2019,37,74.37,20
51085,Hanover,2019-04-01,2019,38,77.95,8
51085,Hanover,2019-05-01,2019,44,78.92,19
51085,Hanover,2019-06-01,2019,27,48.87,13
51085,Hanover,2019-07-01,2019,59,98.74,15
51085,Hanover,2019-08-01,2019,55,79.14,15
51085,Hanover,2019-09-01,2019,44,66.92,23
51085,Hanover,2019-10-01,2019,44,71.84,9
51085,Hanover,2019-11-01,2019,60,86.02,13
51085,Hanover,2019-12-01,2019,56,102.75,25
51085,Hanover,2020-01-01,2020,48,74.71,31
51085,Hanover,2020-02-01,2020,71,104.8,14
51085,Hanover,2020-03-01,2020,19,38.19,2
51085,Hanover,2020-04-01,2020,7,14.36,NA
51085,Hanover,2020-05-01,2020,10,17.94,7
51085,Hanover,2020-06-01,2020,2,3.62,5
51085,Hanover,2020-07-01,2020,17,28.45,6
51085,Hanover,2020-08-01,2020,28,40.29,8
51085,Hanover,2020-09-01,2020,25,38.02,8
51085,Hanover,2020-10-01,2020,35,57.14,4
51085,Hanover,2020-11-01,2020,17,24.37,5
51085,Hanover,2020-12-01,2020,10,18.35,1
51085,Hanover,2021-01-01,2021,12,18.68,5
51085,Hanover,2021-02-01,2021,7,10.33,0
51085,Hanover,2021-03-01,2021,16,32.16,6
51085,Hanover,2021-04-01,2021,13,26.67,2
51085,Hanover,2021-05-01,2021,10,17.94,3
51085,Hanover,2021-06-01,2021,20,36.2,5
51085,Hanover,2021-07-01,2021,8,13.39,1
51085,Hanover,2021-08-01,2021,19,27.34,5
51085,Hanover,2021-09-01,2021,12,18.25,2
51085,Hanover,2021-10-01,2021,15,24.49,2
51085,Hanover,2021-11-01,2021,14,20.07,5
51085,Hanover,2021-12-01,2021,18,33.03,5
51085,Hanover,2022-01-01,2022,13,20.23,3
51085,Hanover,2022-02-01,2022,15,22.14,3
51085,Hanover,2022-03-01,2022,26,52.26,6
51085,Hanover,2022-04-01,2022,15,30.77,3
51085,Hanover,2022-05-01,2022,17,30.49,5
51085,Hanover,2022-06-01,2022,22,39.82,3
51085,Hanover,2022-07-01,2022,40,66.95,10
51085,Hanover,2022-08-01,2022,44,63.31,8
51085,Hanover,2022-09-01,2022,43,65.4,5
51085,Hanover,2022-10-01,2022,50,81.63,19
51085,Hanover,2022-11-01,2022,44,63.08,15
51085,Hanover,2022-12-01,2022,38,69.72,7
51085,Hanover,2023-01-01,2023,58,90.27,12
51085,Hanover,2023-02-01,2023,19,28.04,12
51085,Hanover,2023-03-01,2023,31,62.31,7
51085,Hanover,2023-04-01,2023,32,65.64,6
51085,Hanover,2023-05-01,2023,22,39.46,18
51085,Hanover,2023-06-01,2023,41,74.21,6
51085,Hanover,2023-07-01,2023,45,75.31,9
51085,Hanover,2023-08-01,2023,52,74.82,9
51085,Hanover,2023-09-01,2023,28,42.59,15
51085,Hanover,2023-10-01,2023,61,99.59,8
51085,Hanover,2023-11-01,2023,45,64.52,13
51085,Hanover,2023-12-01,2023,56,102.75,20
