fips5,countyname,hud_area_code,hud_area_name,bedroom_size,fmr
51036,Charles City County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1442
51036,Charles City County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1507
51036,Charles City County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1655
51036,Charles City County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2072
51036,Charles City County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2553
51041,Chesterfield County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1442
51041,Chesterfield County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1507
51041,Chesterfield County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1655
51041,Chesterfield County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2072
51041,Chesterfield County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2553
51075,Goochland County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1442
51075,Goochland County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1507
51075,Goochland County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1655
51075,Goochland County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2072
51075,Goochland County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2553
51085,Hanover County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1442
51085,Hanover County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1507
51085,Hanover County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1655
51085,Hanover County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2072
51085,Hanover County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2553
51087,Henrico County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1442
51087,Henrico County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1507
51087,Henrico County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1655
51087,Henrico County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2072
51087,Henrico County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2553
51127,New Kent County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1442
51127,New Kent County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1507
51127,New Kent County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1655
51127,New Kent County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2072
51127,New Kent County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2553
51145,Powhatan County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1442
51145,Powhatan County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1507
51145,Powhatan County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1655
51145,Powhatan County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2072
51145,Powhatan County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2553
51760,Richmond city,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1442
51760,Richmond city,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1507
51760,Richmond city,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1655
51760,Richmond city,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2072
51760,Richmond city,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2553
