household_size,pct_ami,income_limit,hud_area,mfi_4person
1,30,23850,"Richmond, VA HUD Metro FMR Area",113500
1,50,39750,"Richmond, VA HUD Metro FMR Area",113500
1,80,63600,"Richmond, VA HUD Metro FMR Area",113500
1,100,79500,"Richmond, VA HUD Metro FMR Area",113500
1,120,95400,"Richmond, VA HUD Metro FMR Area",113500
2,30,27250,"Richmond, VA HUD Metro FMR Area",113500
2,50,45400,"Richmond, VA HUD Metro FMR Area",113500
2,80,72650,"Richmond, VA HUD Metro FMR Area",113500
2,100,90800,"Richmond, VA HUD Metro FMR Area",113500
2,120,108960,"Richmond, VA HUD Metro FMR Area",113500
3,30,30650,"Richmond, VA HUD Metro FMR Area",113500
3,50,51100,"Richmond, VA HUD Metro FMR Area",113500
3,80,81750,"Richmond, VA HUD Metro FMR Area",113500
3,100,102200,"Richmond, VA HUD Metro FMR Area",113500
3,120,122640,"Richmond, VA HUD Metro FMR Area",113500
4,30,34050,"Richmond, VA HUD Metro FMR Area",113500
4,50,56750,"Richmond, VA HUD Metro FMR Area",113500
4,80,90800,"Richmond, VA HUD Metro FMR Area",113500
4,100,113500,"Richmond, VA HUD Metro FMR Area",113500
4,120,136200,"Richmond, VA HUD Metro FMR Area",113500
5,30,38680,"Richmond, VA HUD Metro FMR Area",113500
5,50,61300,"Richmond, VA HUD Metro FMR Area",113500
5,80,98100,"Richmond, VA HUD Metro FMR Area",113500
5,100,122600,"Richmond, VA HUD Metro FMR Area",113500
5,120,147120,"Richmond, VA HUD Metro FMR Area",113500
6,30,44360,"Richmond, VA HUD Metro FMR Area",113500
6,50,65850,"Richmond, VA HUD Metro FMR Area",113500
6,80,105350,"Richmond, VA HUD Metro FMR Area",113500
6,100,131700,"Richmond, VA HUD Metro FMR Area",113500
6,120,158040,"Richmond, VA HUD Metro FMR Area",113500
7,30,50040,"Richmond, VA HUD Metro FMR Area",113500
7,50,70400,"Richmond, VA HUD Metro FMR Area",113500
7,80,112600,"Richmond, VA HUD Metro FMR Area",113500
7,100,140800,"Richmond, VA HUD Metro FMR Area",113500
7,120,168960,"Richmond, VA HUD Metro FMR Area",113500
8,30,55720,"Richmond, VA HUD Metro FMR Area",113500
8,50,74950,"Richmond, VA HUD Metro FMR Area",113500
8,80,119900,"Richmond, VA HUD Metro FMR Area",113500
8,100,149900,"Richmond, VA HUD Metro FMR Area",113500
8,120,179880,"Richmond, VA HUD Metro FMR Area",113500
