geoid,short_name,group,metric,value_current,value_2022,metric_label,fmt,change_type,comparison_label,change_raw,value_current_fmt,value_2022_fmt,change_fmt
51041,Chesterfield,primary,pop_current,397148,378739,Population,count,pct,2022 vs. 2025,0.048606032122385075,"397,148","378,739",+5%
51041,Chesterfield,primary,net_migration,27138,NA,Net migration (2020–2025),count,none,(cumulative),NA,"27,138",NA,NA
51041,Chesterfield,primary,median_hh_income,101931,95757,Median household income,dollars,pct,2018–22 vs. 2020–24 ACS,0.06447570412606911,$102k,$96k,+6%
51041,Chesterfield,primary,owner_rate,0.7672790838714281,0.774026419370229,Homeownership rate,percent,pp,2018–22 vs. 2020–24 ACS,-0.0067473354988009104,77%,77%,-0.7 pp
51041,Chesterfield,primary,med_home_value,366000,306500,Median home value,dollars,pct,2018–22 vs. 2020–24 ACS,0.19412724306688417,$366k,$306k,+19%
51041,Chesterfield,primary,med_gross_rent,1629,1460,Median gross rent,dollars,pct,2018–22 vs. 2020–24 ACS,0.11575342465753424,"$1,629","$1,460",+12%
51041,Chesterfield,primary,burdened_renters,0.52241626482471,0.49464765159175705,Cost-burdened renters,percent,pp,2018–22 vs. 2020–24 ACS,0.027768613232952988,52%,49%,+2.8 pp
51041,Chesterfield,primary,burdened_owners,0.19731381785554059,0.19023974757300346,Cost-burdened homeowners,percent,pp,2018–22 vs. 2020–24 ACS,0.0070740702825371204,20%,19%,+0.7 pp
51041,Chesterfield,primary,permits_sf,1845,1385,Single-family permits,count,pct,2022 vs. 2024,0.33212996389891697,"1,845","1,385",+33%
51041,Chesterfield,primary,permits_mf,462,1848,Multifamily permits,count,pct,2022 vs. 2024,-0.75,462,"1,848",-75%
51041,Chesterfield,primary,hud_units,1424,1429,HUD-assisted housing units,count,pct,2022 vs. 2024,-0.0034989503149055285,"1,424","1,429",0%
51041,Chesterfield,primary,sev_burdened_renters,6430,NA,Severely burdened renters (CHAS),count,none,(2018–2022 vintage),NA,"6,430",NA,NA
51041,Chesterfield,primary,pop_2050,520157.51832915226,NA,Population projection (2050),count,none,(Weldon Cooper),NA,"520,158",NA,NA
51085,Hanover,primary,pop_current,116423,112955,Population,count,pct,2022 vs. 2025,0.03070249214288876,"116,423","112,955",+3%
51085,Hanover,primary,net_migration,6864,NA,Net migration (2020–2025),count,none,(cumulative),NA,"6,864",NA,NA
51085,Hanover,primary,median_hh_income,112805,104678,Median household income,dollars,pct,2018–22 vs. 2020–24 ACS,0.07763809014310552,$113k,$105k,+8%
51085,Hanover,primary,owner_rate,0.8211909670164917,0.8302926322402919,Homeownership rate,percent,pp,2018–22 vs. 2020–24 ACS,-0.009101665223800182,82%,83%,-0.9 pp
