nhpd_property_id,geoid,county,property_name,total_units,latest_end_date,expire_window,lihtc,number_active_section8,number_active_public_housing,number_active_home,number_active_hud_insured,number_active_section515,number_active_pbv,number_active_nhtf,number_active_section202,number_active_section538
1000734,51760,Richmond,BLACKWELL SENIOR COTTAGES,14,NA,No listed expiration,FALSE,0,1,0,0,0,0,0,0,0
1007796,51760,Richmond,CHESTERFIELD SQUARE,175,2048-05-01T00:00:00Z,2041 and later,FALSE,1,0,0,1,0,0,0,0,0
1007804,51760,Richmond,HATCHER TOBACCO FLATS,152,2051-12-01T00:00:00Z,2041 and later,TRUE,0,0,0,1,0,0,0,0,0
1007833,51087,Henrico,HOLLYBROOK APARTMENTS,60,2033-06-01T00:00:00Z,2031-2035,FALSE,2,0,0,1,0,0,0,0,0
1010427,51760,Richmond,JAMES RIVER APARTMENTS,14,2048-03-31T00:00:00Z,2041 and later,FALSE,1,0,2,0,0,0,0,0,0
1021232,51041,Chesterfield,ROCKWOOD VILLAGE,83,2040-08-31T00:00:00Z,2036-2040,FALSE,1,0,0,0,0,0,0,0,0
1021344,51087,Henrico,SAINT LUKE APARTMENTS AKA ESSEX VILLAGE,496,2052-01-01T00:00:00Z,2041 and later,TRUE,1,0,0,0,0,0,0,0,0
1021346,51760,Richmond,MONARCH WOODS,71,2044-01-31T00:00:00Z,2041 and later,FALSE,1,0,0,0,0,0,0,0,0
1024000,51041,Chesterfield,CHESTER VILLAGE GREEN APARTMENTS,163,2056-11-01T00:00:00Z,2041 and later,TRUE,0,0,0,2,0,0,0,0,0
1094276,51087,Henrico,MAPLE WOOD APARTMENTS,112,2040-12-01T00:00:00Z,2036-2040,FALSE,1,0,0,1,0,0,0,0,0
1094279,51760,Richmond,CHIPPENHAM PLACE,144,2045-07-31T00:00:00Z,2041 and later,TRUE,1,0,0,0,0,0,0,0,0
1094285,51041,Chesterfield,CHESTERFIELD M R,6,2037-12-31T00:00:00Z,2036-2040,FALSE,1,0,0,0,0,0,0,0,0
1094289,51760,Richmond,CHURCH HILL,297,2042-12-31T00:00:00Z,2041 and later,TRUE,1,0,0,0,0,0,0,0,0
1094291,51760,Richmond,BLUE RIDGE ESTATES,182,2053-08-01T00:00:00Z,2041 and later,TRUE,1,0,0,1,0,0,0,0,0
1094293,51760,Richmond,CHARNWOOD FOREST,100,2032-09-01T00:00:00Z,2031-2035,TRUE,1,0,0,0,0,0,0,0,0
