area,area_title,occ_code,occ_title,o_group,tot_emp,annual_wage_median,annual_wage_p10,annual_wage_p25,annual_wage_p75,annual_wage_p90
40060,"Richmond, VA",00-0000,All Occupations,total,660350,51460,30030,37290,80120,124670
40060,"Richmond, VA",11-0000,Management Occupations,major,39710,129880,64990,93560,178300,262080
40060,"Richmond, VA",11-1011,Chief Executives,detailed,820,326160,130130,188360,401930,558600
40060,"Richmond, VA",11-1021,General and Operations Managers,detailed,15770,108670,57070,77450,164420,229230
40060,"Richmond, VA",11-2011,Advertising and Promotions Managers,detailed,50,161040,102950,122960,164870,224900
40060,"Richmond, VA",11-2021,Marketing Managers,detailed,1090,174130,103000,132730,214930,272460
40060,"Richmond, VA",11-2022,Sales Managers,detailed,1320,168590,90440,121440,225670,296170
40060,"Richmond, VA",11-2032,Public Relations Managers,detailed,380,160540,96030,118540,206050,280160
40060,"Richmond, VA",11-2033,Fundraising Managers,detailed,110,140260,85960,104970,182560,265620
40060,"Richmond, VA",11-3012,Administrative Services Managers,detailed,570,115530,73900,93100,155060,180100
40060,"Richmond, VA",11-3013,Facilities Managers,detailed,440,110780,74320,88660,138330,168940
40060,"Richmond, VA",11-3021,Computer and Information Systems Managers,detailed,1900,180640,127310,153580,224320,301510
40060,"Richmond, VA",11-3031,Financial Managers,detailed,3480,173140,108940,136020,218650,302060
40060,"Richmond, VA",11-3051,Industrial Production Managers,detailed,470,136030,83590,102680,169630,211230
40060,"Richmond, VA",11-3061,Purchasing Managers,detailed,490,147410,99800,120500,173090,216450
40060,"Richmond, VA",11-3071,"Transportation, Storage, and Distribution Managers",detailed,630,111480,78000,93980,157330,209830
40060,"Richmond, VA",11-3111,Compensation and Benefits Managers,detailed,130,157370,100910,128410,214180,300580
40060,"Richmond, VA",11-3121,Human Resources Managers,detailed,960,152190,99800,116260,200640,253890
40060,"Richmond, VA",11-3131,Training and Development Managers,detailed,210,121490,91190,110100,159030,205210
40060,"Richmond, VA",11-9021,Construction Managers,detailed,1270,110350,79580,94560,149130,191940
40060,"Richmond, VA",11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,220,54960,39340,43670,61320,80590
40060,"Richmond, VA",11-9032,"Education Administrators, Kindergarten through Secondary",detailed,1230,104380,75520,84920,127680,138830
40060,"Richmond, VA",11-9033,"Education Administrators, Postsecondary",detailed,540,126850,79770,100130,182540,348750
40060,"Richmond, VA",11-9039,"Education Administrators, All Other",detailed,230,107310,55210,61140,132080,151760
40060,"Richmond, VA",11-9041,Architectural and Engineering Managers,detailed,570,167170,123390,140830,200830,236770
40060,"Richmond, VA",11-9051,Food Service Managers,detailed,510,73570,58120,62120,85430,108500
40060,"Richmond, VA",11-9072,"Entertainment and Recreation Managers, Except Gambling",detailed,50,89580,50640,57890,140880,181860
40060,"Richmond, VA",11-9081,Lodging Managers,detailed,190,74680,38460,45780,95770,132910
40060,"Richmond, VA",11-9111,Medical and Health Services Managers,detailed,1760,129660,80600,102020,161550,215320
40060,"Richmond, VA",11-9121,Natural Sciences Managers,detailed,290,126610,95510,103680,167030,193810
40060,"Richmond, VA",11-9131,Postmasters and Mail Superintendents,detailed,50,97380,88050,92770,102960,124780
40060,"Richmond, VA",11-9141,"Property, Real Estate, and Community Association Managers",detailed,920,87440,47450,62780,127910,170140
40060,"Richmond, VA",11-9151,Social and Community Service Managers,detailed,810,104070,62630,79320,125580,140460
40060,"Richmond, VA",11-9161,Emergency Management Directors,detailed,110,92940,68380,80920,110500,153650
40060,"Richmond, VA",11-9171,Funeral Home Managers,detailed,40,80450,75190,78310,101600,103180
40060,"Richmond, VA",11-9199,"Managers, All Other",detailed,2060,144730,93640,116740,189700,244250
40060,"Richmond, VA",13-0000,Business and Financial Operations Occupations,major,61390,82660,50450,63870,109720,142710
40060,"Richmond, VA",13-1020,Buyers and Purchasing Agents,detailed,4000,82370,51860,64630,103940,128700
40060,"Richmond, VA",13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,1790,78780,50320,62480,96770,105540
40060,"Richmond, VA",13-1041,Compliance Officers,detailed,2910,77060,47770,61760,97290,119560
