geoid,name,year,variable,label,value
51036,"Charles City County, Virginia",2020,POPESTIMATE,Total population,6747
51036,"Charles City County, Virginia",2021,POPESTIMATE,Total population,6614
51036,"Charles City County, Virginia",2022,POPESTIMATE,Total population,6582
51036,"Charles City County, Virginia",2023,POPESTIMATE,Total population,6652
51036,"Charles City County, Virginia",2024,POPESTIMATE,Total population,6582
51036,"Charles City County, Virginia",2025,POPESTIMATE,Total population,6623
51036,"Charles City County, Virginia",2020,NPOPCHG,Net population change,-25
51036,"Charles City County, Virginia",2021,NPOPCHG,Net population change,-133
51036,"Charles City County, Virginia",2022,NPOPCHG,Net population change,-32
51036,"Charles City County, Virginia",2023,NPOPCHG,Net population change,70
51036,"Charles City County, Virginia",2024,NPOPCHG,Net population change,-70
51036,"Charles City County, Virginia",2025,NPOPCHG,Net population change,41
51041,"Chesterfield County, Virginia",2020,POPESTIMATE,Total population,365330
51041,"Chesterfield County, Virginia",2021,POPESTIMATE,Total population,371042
51041,"Chesterfield County, Virginia",2022,POPESTIMATE,Total population,378739
51041,"Chesterfield County, Virginia",2023,POPESTIMATE,Total population,385138
51041,"Chesterfield County, Virginia",2024,POPESTIMATE,Total population,391243
51041,"Chesterfield County, Virginia",2025,POPESTIMATE,Total population,397148
51041,"Chesterfield County, Virginia",2020,NPOPCHG,Net population change,1246
51041,"Chesterfield County, Virginia",2021,NPOPCHG,Net population change,5712
51041,"Chesterfield County, Virginia",2022,NPOPCHG,Net population change,7697
51041,"Chesterfield County, Virginia",2023,NPOPCHG,Net population change,6399
51041,"Chesterfield County, Virginia",2024,NPOPCHG,Net population change,6105
51041,"Chesterfield County, Virginia",2025,NPOPCHG,Net population change,5905
51075,"Goochland County, Virginia",2020,POPESTIMATE,Total population,24866
51075,"Goochland County, Virginia",2021,POPESTIMATE,Total population,25551
51075,"Goochland County, Virginia",2022,POPESTIMATE,Total population,26212
51075,"Goochland County, Virginia",2023,POPESTIMATE,Total population,27272
51075,"Goochland County, Virginia",2024,POPESTIMATE,Total population,28263
51075,"Goochland County, Virginia",2025,POPESTIMATE,Total population,29187
51075,"Goochland County, Virginia",2020,NPOPCHG,Net population change,122
51075,"Goochland County, Virginia",2021,NPOPCHG,Net population change,685
51075,"Goochland County, Virginia",2022,NPOPCHG,Net population change,661
51075,"Goochland County, Virginia",2023,NPOPCHG,Net population change,1060
51075,"Goochland County, Virginia",2024,NPOPCHG,Net population change,991
51075,"Goochland County, Virginia",2025,NPOPCHG,Net population change,924
51085,"Hanover County, Virginia",2020,POPESTIMATE,Total population,110211
51085,"Hanover County, Virginia",2021,POPESTIMATE,Total population,111827
51085,"Hanover County, Virginia",2022,POPESTIMATE,Total population,112955
51085,"Hanover County, Virginia",2023,POPESTIMATE,Total population,114263
51085,"Hanover County, Virginia",2024,POPESTIMATE,Total population,115553
51085,"Hanover County, Virginia",2025,POPESTIMATE,Total population,116423
51085,"Hanover County, Virginia",2020,NPOPCHG,Net population change,229
51085,"Hanover County, Virginia",2021,NPOPCHG,Net population change,1616
51085,"Hanover County, Virginia",2022,NPOPCHG,Net population change,1128
51085,"Hanover County, Virginia",2023,NPOPCHG,Net population change,1308
51085,"Hanover County, Virginia",2024,NPOPCHG,Net population change,1290
51085,"Hanover County, Virginia",2025,NPOPCHG,Net population change,870
51087,"Henrico County, Virginia",2020,POPESTIMATE,Total population,334929
51087,"Henrico County, Virginia",2021,POPESTIMATE,Total population,334546
51087,"Henrico County, Virginia",2022,POPESTIMATE,Total population,335033
51087,"Henrico County, Virginia",2023,POPESTIMATE,Total population,336037
51087,"Henrico County, Virginia",2024,POPESTIMATE,Total population,340024
51087,"Henrico County, Virginia",2025,POPESTIMATE,Total population,342775
51087,"Henrico County, Virginia",2020,NPOPCHG,Net population change,-32
51087,"Henrico County, Virginia",2021,NPOPCHG,Net population change,-383
51087,"Henrico County, Virginia",2022,NPOPCHG,Net population change,487
51087,"Henrico County, Virginia",2023,NPOPCHG,Net population change,1004
51087,"Henrico County, Virginia",2024,NPOPCHG,Net population change,3987
51087,"Henrico County, Virginia",2025,NPOPCHG,Net population change,2751
51127,"New Kent County, Virginia",2020,POPESTIMATE,Total population,23118
51127,"New Kent County, Virginia",2021,POPESTIMATE,Total population,23952
51127,"New Kent County, Virginia",2022,POPESTIMATE,Total population,24972
51127,"New Kent County, Virginia",2023,POPESTIMATE,Total population,26178
51127,"New Kent County, Virginia",2024,POPESTIMATE,Total population,27196
51127,"New Kent County, Virginia",2025,POPESTIMATE,Total population,28022
51127,"New Kent County, Virginia",2020,NPOPCHG,Net population change,176
51127,"New Kent County, Virginia",2021,NPOPCHG,Net population change,834
51127,"New Kent County, Virginia",2022,NPOPCHG,Net population change,1020
51127,"New Kent County, Virginia",2023,NPOPCHG,Net population change,1206
51127,"New Kent County, Virginia",2024,NPOPCHG,Net population change,1018
51127,"New Kent County, Virginia",2025,NPOPCHG,Net population change,826
51145,"Powhatan County, Virginia",2020,POPESTIMATE,Total population,30453
51145,"Powhatan County, Virginia",2021,POPESTIMATE,Total population,31250
51145,"Powhatan County, Virginia",2022,POPESTIMATE,Total population,31592
51145,"Powhatan County, Virginia",2023,POPESTIMATE,Total population,32102
51145,"Powhatan County, Virginia",2024,POPESTIMATE,Total population,32362
51145,"Powhatan County, Virginia",2025,POPESTIMATE,Total population,32591
51145,"Powhatan County, Virginia",2020,NPOPCHG,Net population change,112
51145,"Powhatan County, Virginia",2021,NPOPCHG,Net population change,797
51145,"Powhatan County, Virginia",2022,NPOPCHG,Net population change,342
51145,"Powhatan County, Virginia",2023,NPOPCHG,Net population change,510
51145,"Powhatan County, Virginia",2024,NPOPCHG,Net population change,260
51145,"Powhatan County, Virginia",2025,NPOPCHG,Net population change,229
51760,"Richmond city, Virginia",2020,POPESTIMATE,Total population,226927
51760,"Richmond city, Virginia",2021,POPESTIMATE,Total population,227229
51760,"Richmond city, Virginia",2022,POPESTIMATE,Total population,228936
51760,"Richmond city, Virginia",2023,POPESTIMATE,Total population,230804
51760,"Richmond city, Virginia",2024,POPESTIMATE,Total population,234807
51760,"Richmond city, Virginia",2025,POPESTIMATE,Total population,237257
51760,"Richmond city, Virginia",2020,NPOPCHG,Net population change,405
51760,"Richmond city, Virginia",2021,NPOPCHG,Net population change,302
51760,"Richmond city, Virginia",2022,NPOPCHG,Net population change,1707
51760,"Richmond city, Virginia",2023,NPOPCHG,Net population change,1868
51760,"Richmond city, Virginia",2024,NPOPCHG,Net population change,4003
51760,"Richmond city, Virginia",2025,NPOPCHG,Net population change,2450
51036,"Charles City County, Virginia",2020,BIRTHS,Births,19
51036,"Charles City County, Virginia",2021,BIRTHS,Births,29
51036,"Charles City County, Virginia",2022,BIRTHS,Births,39
51036,"Charles City County, Virginia",2023,BIRTHS,Births,34
51036,"Charles City County, Virginia",2024,BIRTHS,Births,44
51036,"Charles City County, Virginia",2025,BIRTHS,Births,45
51036,"Charles City County, Virginia",2020,DEATHS,Deaths,26
51036,"Charles City County, Virginia",2021,DEATHS,Deaths,118
51036,"Charles City County, Virginia",2022,DEATHS,Deaths,108
51036,"Charles City County, Virginia",2023,DEATHS,Deaths,78
51036,"Charles City County, Virginia",2024,DEATHS,Deaths,89
51036,"Charles City County, Virginia",2025,DEATHS,Deaths,88
51036,"Charles City County, Virginia",2020,NATURALCHG,Natural change,-7
51036,"Charles City County, Virginia",2021,NATURALCHG,Natural change,-89
51036,"Charles City County, Virginia",2022,NATURALCHG,Natural change,-69
51036,"Charles City County, Virginia",2023,NATURALCHG,Natural change,-44
51036,"Charles City County, Virginia",2024,NATURALCHG,Natural change,-45
51036,"Charles City County, Virginia",2025,NATURALCHG,Natural change,-43
51036,"Charles City County, Virginia",2020,INTERNATIONALMIG,Net international migration,0
51036,"Charles City County, Virginia",2021,INTERNATIONALMIG,Net international migration,0
51036,"Charles City County, Virginia",2022,INTERNATIONALMIG,Net international migration,0
51036,"Charles City County, Virginia",2023,INTERNATIONALMIG,Net international migration,0
51036,"Charles City County, Virginia",2024,INTERNATIONALMIG,Net international migration,0
51036,"Charles City County, Virginia",2025,INTERNATIONALMIG,Net international migration,-1
51036,"Charles City County, Virginia",2020,DOMESTICMIG,Net domestic migration,-17
51036,"Charles City County, Virginia",2021,DOMESTICMIG,Net domestic migration,-47
51036,"Charles City County, Virginia",2022,DOMESTICMIG,Net domestic migration,39
51036,"Charles City County, Virginia",2023,DOMESTICMIG,Net domestic migration,115
51036,"Charles City County, Virginia",2024,DOMESTICMIG,Net domestic migration,-26
51036,"Charles City County, Virginia",2025,DOMESTICMIG,Net domestic migration,87
51036,"Charles City County, Virginia",2020,NETMIG,Net migration,-17
51036,"Charles City County, Virginia",2021,NETMIG,Net migration,-47
51036,"Charles City County, Virginia",2022,NETMIG,Net migration,39
51036,"Charles City County, Virginia",2023,NETMIG,Net migration,115
51036,"Charles City County, Virginia",2024,NETMIG,Net migration,-26
51036,"Charles City County, Virginia",2025,NETMIG,Net migration,86
51036,"Charles City County, Virginia",2020,RESIDUAL,Residual,-1
51036,"Charles City County, Virginia",2021,RESIDUAL,Residual,3
51036,"Charles City County, Virginia",2022,RESIDUAL,Residual,-2
51036,"Charles City County, Virginia",2023,RESIDUAL,Residual,-1
51036,"Charles City County, Virginia",2024,RESIDUAL,Residual,1
51036,"Charles City County, Virginia",2025,RESIDUAL,Residual,-2
51036,"Charles City County, Virginia",2021,RBIRTH,"Birth rate (per 1,000)",4.340992441
51036,"Charles City County, Virginia",2022,RBIRTH,"Birth rate (per 1,000)",5.910882086
51036,"Charles City County, Virginia",2023,RBIRTH,"Birth rate (per 1,000)",5.138280187
51036,"Charles City County, Virginia",2024,RBIRTH,"Birth rate (per 1,000)",6.649539066
51036,"Charles City County, Virginia",2025,RBIRTH,"Birth rate (per 1,000)",6.815600152
51036,"Charles City County, Virginia",2021,RDEATH,"Death rate (per 1,000)",17.66334855
51036,"Charles City County, Virginia",2022,RDEATH,"Death rate (per 1,000)",16.36859654
51036,"Charles City County, Virginia",2023,RDEATH,"Death rate (per 1,000)",11.78781925
51036,"Charles City County, Virginia",2024,RDEATH,"Death rate (per 1,000)",13.45020402
51036,"Charles City County, Virginia",2025,RDEATH,"Death rate (per 1,000)",13.32828474
