year,geoid,name,program_label,total_units,pct_occupied,number_reported
2020,51036,Charles City County,Summary of All HUD Programs,1,NA,-4
2020,51036,Charles City County,Housing Choice Vouchers,1,NA,-4
2020,51041,Chesterfield County,Summary of All HUD Programs,1484,92,1398
2020,51041,Chesterfield County,Housing Choice Vouchers,1166,91,1096
2020,51041,Chesterfield County,Project Based Section 8,209,96,205
2020,51041,Chesterfield County,202/PRAC,82,97,79
2020,51041,Chesterfield County,811/PRAC,27,88,18
2020,51075,Goochland County,Summary of All HUD Programs,23,90,21
2020,51075,Goochland County,Housing Choice Vouchers,23,90,21
2020,51085,Hanover County,Summary of All HUD Programs,485,93,457
2020,51085,Hanover County,Housing Choice Vouchers,317,91,293
2020,51085,Hanover County,Project Based Section 8,100,95,96
2020,51085,Hanover County,202/PRAC,68,100,68
2020,51087,Henrico County,Summary of All HUD Programs,4169,92,3852
2020,51087,Henrico County,Housing Choice Vouchers,1887,91,1775
2020,51087,Henrico County,Project Based Section 8,2280,94,2075
2020,51087,Henrico County,202/PRAC,2,NA,-4
2020,51127,New Kent County,Summary of All HUD Programs,4,NA,-4
2020,51127,New Kent County,Housing Choice Vouchers,3,NA,-4
2020,51127,New Kent County,Project Based Section 8,1,NA,-4
2020,51145,Powhatan County,Summary of All HUD Programs,5,NA,-4
2020,51145,Powhatan County,Housing Choice Vouchers,4,NA,-4
2020,51145,Powhatan County,Project Based Section 8,1,NA,-4
2020,51760,Richmond city,Summary of All HUD Programs,9506,93,8935
2020,51760,Richmond city,Public Housing,3706,92,3422
2020,51760,Richmond city,Housing Choice Vouchers,2509,91,2379
2020,51760,Richmond city,Project Based Section 8,3178,95,3029
2020,51760,Richmond city,202/PRAC,72,97,71
2020,51760,Richmond city,811/PRAC,41,97,34
2021,51036,Charles City County,Summary of All HUD Programs,1,NA,-4
2021,51036,Charles City County,Housing Choice Vouchers,1,NA,-4
2021,51041,Chesterfield County,Summary of All HUD Programs,1478,90,1382
2021,51041,Chesterfield County,Housing Choice Vouchers,1160,89,1096
2021,51041,Chesterfield County,Project Based Section 8,211,94,176
2021,51041,Chesterfield County,202/PRAC,82,96,84
