locality,ami_band,tenure,estimate,se,cv,total,share
Richmond region (core-3 PUMAs),Below 30% AMI,Owner,16868,929.65902351346,5.5113767104189,242351,0.0696015283617563
Richmond region (core-3 PUMAs),30-50% AMI,Owner,19939,850.9859575809697,4.267947026335171,242351,0.08227323180015762
Richmond region (core-3 PUMAs),50-80% AMI,Owner,38568,972.5457572782886,2.521639071972331,242351,0.15914108049894574
Richmond region (core-3 PUMAs),80-100% AMI,Owner,26102,887.6706878116456,3.4007765221502013,242351,0.10770328985644788
Richmond region (core-3 PUMAs),100-120% AMI,Owner,24201,812.6330352625348,3.3578489949280392,242351,0.0998592949894987
Richmond region (core-3 PUMAs),Above 120% AMI,Owner,116673,1725.2536769994144,1.4787085932472932,242351,0.4814215744931938
Richmond region (core-3 PUMAs),Below 30% AMI,Renter,32590,984.5557881603257,3.0210364779390173,139491,0.23363514491974394
Richmond region (core-3 PUMAs),30-50% AMI,Renter,23061,918.6609820820736,3.9836129486235357,139491,0.1653224939243392
Richmond region (core-3 PUMAs),50-80% AMI,Renter,33380,1340.571743697442,4.016092701310491,139491,0.2392985927407503
Richmond region (core-3 PUMAs),80-100% AMI,Renter,14945,816.8678595709346,5.465827096493372,139491,0.10713952871511424
Richmond region (core-3 PUMAs),100-120% AMI,Renter,10629,677.9717545738908,6.378509310131629,139491,0.07619846441705916
Richmond region (core-3 PUMAs),Above 120% AMI,Renter,24886,1087.1206464785773,4.36840250132033,139491,0.17840577528299317
Chesterfield County,Below 30% AMI,Owner,6353,475.3866847104576,7.482869269801001,107819,0.05892282436305289
Chesterfield County,30-50% AMI,Owner,7648,482.23588626314404,6.30538554214362,107819,0.07093369443233567
Chesterfield County,50-80% AMI,Owner,17114,680.2965529825946,3.9750879571262976,107819,0.15872898097737875
Chesterfield County,80-100% AMI,Owner,11998,585.9903582824551,4.884066996853268,107819,0.11127908810135505
Chesterfield County,100-120% AMI,Owner,12337,566.2160365090343,4.589576367909818,107819,0.11442324636659587
Chesterfield County,Above 120% AMI,Owner,52369,1033.7287603622142,1.973932594401677,107819,0.4857121657592818
Chesterfield County,Below 30% AMI,Renter,6050,501.9519897360703,8.296727103075542,32338,0.1870863999010452
Chesterfield County,30-50% AMI,Renter,5430,533.6533050586307,9.827869338096331,32338,0.16791390933267364
Chesterfield County,50-80% AMI,Renter,7959,656.7859620911519,8.252116623836562,32338,0.246119116828499
Chesterfield County,80-100% AMI,Renter,4026,472.994608848769,11.748499971405092,32338,0.12449749520687736
Chesterfield County,100-120% AMI,Renter,2912,338.6250138427461,11.628606244599798,32338,0.09004885892757747
Chesterfield County,Above 120% AMI,Renter,5961,495.0514619713793,8.304839154024144,32338,0.18433421980332734
Henrico County,Below 30% AMI,Owner,6196,471.1809631129,7.604599146431568,88648,0.06989441386156484
Henrico County,30-50% AMI,Owner,7541,544.5383824855692,7.221036765489579,88648,0.08506678097644617
Henrico County,50-80% AMI,Owner,13814,629.3939545308646,4.556203522012918,88648,0.15582979875462502
Henrico County,80-100% AMI,Owner,9406,594.9462580771477,6.325178163694958,88648,0.10610504467105857
Henrico County,100-120% AMI,Owner,8048,559.3331297178811,6.949964335460749,88648,0.09078603014168396
Henrico County,Above 120% AMI,Owner,43643,1079.5577103610535,2.473610224689076,88648,0.49231793159462145
Henrico County,Below 30% AMI,Renter,9840,568.2031326911178,5.774422080194287,48717,0.2019828807192561
Henrico County,30-50% AMI,Renter,8567,603.5096519526428,7.044585642029215,48717,0.17585237186197836
Henrico County,50-80% AMI,Renter,11975,642.3971902180145,5.364485930839369,48717,0.245807418354989
Henrico County,80-100% AMI,Renter,5256,481.7123623076327,9.164999282869724,48717,0.10788841677443192
Henrico County,100-120% AMI,Renter,3206,356.2586841046826,11.112248412497896,48717,0.06580864995792024
Henrico County,Above 120% AMI,Renter,9873,576.7039101653464,5.841222629042302,48717,0.20266026233142434
Richmond city,Below 30% AMI,Owner,4319,453.70320695362074,10.5048207213156,45884,0.09412867230407114
Richmond city,30-50% AMI,Owner,4750,432.79313765354465,9.11143447691673,45884,0.1035219248539796
Richmond city,50-80% AMI,Owner,7640,488.76722476041704,6.397476763879804,45884,0.16650684334408508
Richmond city,80-100% AMI,Owner,4698,451.74229379149347,9.61562992319058,45884,0.10238863220294656
Richmond city,100-120% AMI,Owner,3816,313.91718653173484,8.226341366135609,45884,0.08316624531427078
Richmond city,Above 120% AMI,Owner,20661,715.062270015696,3.4609276899264114,45884,0.45028768198064684
Richmond city,Below 30% AMI,Renter,16700,702.87146762406,4.2088111833776045,58436,0.28578273666917653
Richmond city,30-50% AMI,Renter,9064,522.3238937670762,5.762620187191927,58436,0.15510986378259978
Richmond city,50-80% AMI,Renter,13446,852.6392261677855,6.341210963615837,58436,0.23009788486549387
Richmond city,80-100% AMI,Renter,5663,445.1889486498963,7.8613623282694025,58436,0.09690943938667944
Richmond city,100-120% AMI,Renter,4511,350.26026037790814,7.764581254220975,58436,0.07719556437812307
Richmond city,Above 120% AMI,Renter,9052,611.0477477251676,6.750417009778696,58436,0.1549045109179273
