race_group,ami_band,tenure,estimate,se,cv,total,share
"White, non-Hispanic",Below 30% AMI,Owner,8491,515.3759307534647,6.069672956700797,154095,0.05510237191343003
"White, non-Hispanic",30-50% AMI,Owner,10440,624.5198155383061,5.9819905702902885,154095,0.06775041370583082
"White, non-Hispanic",50-80% AMI,Owner,22597,824.5311394968659,3.6488522347960606,154095,0.14664330445504398
"White, non-Hispanic",80-100% AMI,Owner,15425,656.8104749469211,4.258090599331741,154095,0.10010058730004218
"White, non-Hispanic",100-120% AMI,Owner,15146,690.463069251354,4.558715629548092,154095,0.0982900158992829
"White, non-Hispanic",Above 120% AMI,Owner,81996,1385.995526688308,1.6903209018590029,154095,0.5321133067263701
"White, non-Hispanic",Below 30% AMI,Renter,9082,575.6175379538049,6.338004161570193,56572,0.16053878243654104
"White, non-Hispanic",30-50% AMI,Renter,7554,534.0144660961911,7.0692939647364454,56572,0.13352895425298733
"White, non-Hispanic",50-80% AMI,Renter,13389,777.0690767235561,5.803787263601136,56572,0.23667185179947678
"White, non-Hispanic",80-100% AMI,Renter,7387,529.0417280328651,7.161794071109585,56572,0.13057696386905182
"White, non-Hispanic",100-120% AMI,Renter,4740,355.6993815007274,7.50420636077484,56572,0.08378703245421763
"White, non-Hispanic",Above 120% AMI,Renter,14420,690.2597337234731,4.786822009178039,56572,0.2548964151877254
Black,Below 30% AMI,Owner,6555,572.3778472303064,8.73192749397874,56430,0.11616161616161616
Black,30-50% AMI,Owner,6131,574.5008703213599,9.370426852411677,56430,0.10864788233209285
Black,50-80% AMI,Owner,11073,535.7023427240168,4.837915133423795,56430,0.1962254120148857
Black,80-100% AMI,Owner,7737,583.4400569038777,7.540908063899156,56430,0.13710792131844762
Black,100-120% AMI,Owner,5718,545.2388467451673,9.535481754899742,56430,0.1013290802764487
Black,Above 120% AMI,Owner,19216,735.7986477291189,3.829093712162359,56430,0.34052808789650896
Black,Below 30% AMI,Renter,18039,898.8220624795545,4.982660139029627,56905,0.3170020209120464
Black,30-50% AMI,Renter,10432,593.1827711591092,5.686184539485326,56905,0.18332308233019945
Black,50-80% AMI,Renter,14068,785.5931517013116,5.584256125258115,56905,0.2472190492926808
Black,80-100% AMI,Renter,5438,546.2395994433213,10.044862071410837,56905,0.09556278007204991
Black,100-120% AMI,Renter,3468,382.07322596591354,11.017105708359676,56905,0.060943678059924435
Black,Above 120% AMI,Renter,5460,520.9901630549275,9.541944378295375,56905,0.09594938933309903
Hispanic or Latino,Below 30% AMI,Owner,844,168.8444550466494,20.005267185621967,12482,0.06761736901137638
