zip_code,hud_area_code,hud_area_name,bedroom_size,safmr
22546,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1250
22546,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1280
22546,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1560
22546,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2170
22546,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2620
23002,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1370
23002,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1430
23002,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1570
23002,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,1970
23002,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2420
23005,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1340
23005,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1400
23005,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1540
23005,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,1950
23005,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2410
23009,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1390
23009,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1460
23009,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1600
23009,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2020
23009,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2500
23011,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1450
23011,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1490
23011,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1660
23011,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2200
23011,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2640
23015,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1110
23015,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1210
23015,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1380
23015,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,1840
23015,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2190
23024,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1080
23024,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1130
23024,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1240
23024,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,1690
23024,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,1920
23030,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1340
23030,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1400
23030,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1540
23030,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,1950
23030,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2410
23038,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1340
23038,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1400
23038,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1560
23038,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,1950
23038,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2410
23039,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1340
23039,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1400
23039,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1540
23039,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,1950
23039,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2410
23047,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1340
23047,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1400
23047,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1540
23047,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2010
23047,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2460
23058,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1500
23058,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1570
23058,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1720
23058,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2150
23058,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2650
23059,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1920
23059,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,2000
23059,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,2200
23059,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2750
23059,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,3390
23060,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1660
23060,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1740
23060,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1910
23060,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2390
23060,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2950
23063,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1340
23063,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1400
23063,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1540
23063,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,1950
23063,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2410
23065,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1340
23065,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1400
23065,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1540
23065,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,1950
23065,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2410
23067,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1600
23067,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1680
23067,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1840
23067,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2300
23067,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2840
23069,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1480
23069,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1580
23069,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1760
23069,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2250
23069,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2760
23075,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1340
23075,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1400
23075,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1540
23075,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,1950
23075,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2410
23083,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1340
23083,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1400
23083,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1540
23083,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,1950
23083,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2410
23084,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1340
23084,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1400
23084,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1560
