geoid,locality,school_year,mv_count
51041,Chesterfield,2020-21,491
51085,Hanover,2020-21,56
51087,Henrico,2020-21,551
51760,Richmond city,2020-21,543
51041,Chesterfield,2021-22,710
51085,Hanover,2021-22,45
51087,Henrico,2021-22,758
51760,Richmond city,2021-22,654
51041,Chesterfield,2022-23,933
51085,Hanover,2022-23,89
51087,Henrico,2022-23,1139
51760,Richmond city,2022-23,781
51041,Chesterfield,2023-24,900
51085,Hanover,2023-24,61
51087,Henrico,2023-24,1275
51760,Richmond city,2023-24,824
51041,Chesterfield,2024-25,866
51085,Hanover,2024-25,100
51087,Henrico,2024-25,1219
51760,Richmond city,2024-25,911
