geoid,name,year,series,sex,age_group,estimate
5103368,Ashland town,2030,total_population,NA,NA,8196.18069525836
5103368,Ashland town,2040,total_population,NA,NA,8835.286788402995
5103368,Ashland town,2050,total_population,NA,NA,9591.559469572665
51036,Charles City County,2030,age_sex,Female,0 to 4,122.84584980237153
51036,Charles City County,2030,age_sex,Female,10 to 14,141.15345415953504
51036,Charles City County,2030,age_sex,Female,15 to 19,101.5875930015771
51036,Charles City County,2030,age_sex,Female,20 to 24,103.11858240737914
51036,Charles City County,2030,age_sex,Female,25 to 29,127.40011046019345
51036,Charles City County,2030,age_sex,Female,30 to 34,138.71287527654187
51036,Charles City County,2030,age_sex,Female,35 to 39,161.25849240896486
51036,Charles City County,2030,age_sex,Female,40 to 44,156.9182799167781
51036,Charles City County,2030,age_sex,Female,45 to 49,176.55870776581472
51036,Charles City County,2030,age_sex,Female,5 to 9,146.49429657794676
51036,Charles City County,2030,age_sex,Female,50 to 54,151.8511418248875
51036,Charles City County,2030,age_sex,Female,55 to 59,187.1699474221402
51036,Charles City County,2030,age_sex,Female,60 to 64,255.41447296701614
51036,Charles City County,2030,age_sex,Female,65 to 69,341.74850299401197
51036,Charles City County,2030,age_sex,Female,70 to 74,247.2185886402754
51036,Charles City County,2030,age_sex,Female,75 to 79,224.01583710407238
51036,Charles City County,2030,age_sex,Female,80 to 84,189.93150684931507
51036,Charles City County,2030,age_sex,Female,85 and Over,169.87083333333334
51036,Charles City County,2030,age_sex,Male,0 to 4,136.15415019762844
51036,Charles City County,2030,age_sex,Male,10 to 14,104.80855278911584
51036,Charles City County,2030,age_sex,Male,15 to 19,129.08498659598894
51036,Charles City County,2030,age_sex,Male,20 to 24,124.32736885996064
51036,Charles City County,2030,age_sex,Male,25 to 29,128.8235753815364
51036,Charles City County,2030,age_sex,Male,30 to 34,141.43273557608188
51036,Charles City County,2030,age_sex,Male,35 to 39,148.28367118065734
51036,Charles City County,2030,age_sex,Male,40 to 44,129.70701750346396
51036,Charles City County,2030,age_sex,Male,45 to 49,176.55870776581472
51036,Charles City County,2030,age_sex,Male,5 to 9,154.50570342205322
51036,Charles City County,2030,age_sex,Male,50 to 54,152.4220107791164
51036,Charles City County,2030,age_sex,Male,55 to 59,185.03086230874433
51036,Charles City County,2030,age_sex,Male,60 to 64,254.62615669242658
51036,Charles City County,2030,age_sex,Male,65 to 69,299.0299401197605
51036,Charles City County,2030,age_sex,Male,70 to 74,276.1721170395869
51036,Charles City County,2030,age_sex,Male,75 to 79,217.05882352941174
51036,Charles City County,2030,age_sex,Male,80 to 84,125.54794520547945
51036,Charles City County,2030,age_sex,Male,85 and Over,86.375
51036,Charles City County,2030,age_sex,Total,0 to 4,259
