Month,"Sale Price, Median","List Price, Median"
Jan 2016,"$212,500","$259,000"
Feb 2016,"$207,500","$239,500"
Mar 2016,"$221,940","$257,975"
Apr 2016,"$226,750","$251,450"
May 2016,"$234,900","$254,500"
Jun 2016,"$244,712","$245,000"
Jul 2016,"$244,900","$245,000"
Aug 2016,"$235,805","$243,500"
Sep 2016,"$225,000","$249,950"
Oct 2016,"$239,000","$247,000"
Nov 2016,"$232,750","$250,000"
Dec 2016,"$232,745","$245,655"
Jan 2017,"$228,750","$255,000"
Feb 2017,"$233,250","$274,950"
Mar 2017,"$237,500","$269,900"
Apr 2017,"$239,900","$276,000"
May 2017,"$245,660","$275,000"
Jun 2017,"$255,000","$265,000"
Jul 2017,"$260,000","$249,950"
Aug 2017,"$255,000","$259,000"
Sep 2017,"$242,613","$265,000"
Oct 2017,"$233,925","$261,818"
Nov 2017,"$245,950","$254,975"
Dec 2017,"$255,000","$259,995"
Jan 2018,"$240,000","$280,745"
Feb 2018,"$240,000","$285,000"
Mar 2018,"$256,125","$279,950"
Apr 2018,"$255,000","$282,500"
May 2018,"$263,940","$279,950"
Jun 2018,"$270,000","$276,450"
Jul 2018,"$270,000","$274,713"
Aug 2018,"$264,000","$261,628"
Sep 2018,"$250,000","$274,950"
Oct 2018,"$255,000","$270,000"
Nov 2018,"$253,900","$270,000"
Dec 2018,"$249,950","$259,995"
Jan 2019,"$249,950","$289,900"
Feb 2019,"$244,235","$297,000"
Mar 2019,"$265,000","$295,975"
Apr 2019,"$265,790","$298,770"
May 2019,"$271,025","$288,900"
Jun 2019,"$284,000","$287,885"
Jul 2019,"$275,000","$279,950"
Aug 2019,"$276,000","$269,995"
Sep 2019,"$269,448","$289,950"
Oct 2019,"$265,000","$287,500"
Nov 2019,"$268,000","$275,000"
Dec 2019,"$275,000","$296,820"
Jan 2020,"$264,000","$298,000"
Feb 2020,"$258,500","$300,000"
Mar 2020,"$280,000","$309,950"
Apr 2020,"$281,803","$304,975"
May 2020,"$286,990","$301,556"
Jun 2020,"$289,990","$313,500"
Jul 2020,"$300,000","$300,000"
Aug 2020,"$300,000","$313,905"
Sep 2020,"$301,926","$314,950"
Oct 2020,"$308,450","$315,000"
Nov 2020,"$300,000","$299,900"
Dec 2020,"$305,000","$310,000"
Jan 2021,"$295,000","$319,970"
Feb 2021,"$315,000","$315,000"
Mar 2021,"$318,740","$325,000"
Apr 2021,"$325,000","$324,000"
May 2021,"$325,000","$325,000"
Jun 2021,"$339,975","$325,000"
Jul 2021,"$331,500","$324,950"
Aug 2021,"$335,000","$325,000"
Sep 2021,"$330,000","$325,000"
Oct 2021,"$330,000","$325,000"
Nov 2021,"$330,750","$334,950"
Dec 2021,"$325,000","$320,000"
Jan 2022,"$330,000","$347,900"
Feb 2022,"$340,000","$349,900"
Mar 2022,"$357,440","$349,950"
Apr 2022,"$367,750","$369,975"
May 2022,"$375,000","$375,000"
Jun 2022,"$380,000","$370,000"
Jul 2022,"$380,000","$355,000"
Aug 2022,"$365,000","$360,000"
Sep 2022,"$366,000","$359,950"
Oct 2022,"$365,000","$355,070"
Nov 2022,"$365,000","$364,990"
Dec 2022,"$349,990","$353,558"
Jan 2023,"$345,000","$375,000"
Feb 2023,"$362,000","$379,950"
Mar 2023,"$359,000","$398,750"
Apr 2023,"$380,000","$399,900"
May 2023,"$390,000","$399,000"
Jun 2023,"$398,409","$390,000"
Jul 2023,"$395,000","$389,950"
Aug 2023,"$390,000","$399,900"
Sep 2023,"$380,000","$399,000"
Oct 2023,"$390,000","$399,000"
Nov 2023,"$399,900","$389,000"
Dec 2023,"$390,000","$395,000"
Jan 2024,"$376,500","$399,950"
Feb 2024,"$391,000","$410,000"
Mar 2024,"$397,630","$434,950"
Apr 2024,"$415,000","$425,000"
May 2024,"$418,500","$429,999"
Jun 2024,"$430,841","$419,900"
Jul 2024,"$422,500","$415,000"
Aug 2024,"$409,000","$410,000"
Sep 2024,"$417,450","$419,000"
Oct 2024,"$409,950","$415,000"
Nov 2024,"$413,239","$410,000"
Dec 2024,"$412,268","$395,000"
Jan 2025,"$389,925","$425,000"
Feb 2025,"$405,000","$425,000"
Mar 2025,"$418,000","$425,000"
Apr 2025,"$420,000","$449,500"
May 2025,"$430,000","$429,664"
Jun 2025,"$435,000","$424,950"
Jul 2025,"$431,500","$413,000"
Aug 2025,"$410,000","$409,900"
Sep 2025,"$409,000","$425,000"
Oct 2025,"$419,950","$411,890"
Nov 2025,"$401,745","$399,990"
Dec 2025,"$406,018","$399,990"
Jan 2026,"$397,000","$415,000"
Feb 2026,"$404,082","$425,000"
Mar 2026,"$420,000","$439,000"
Apr 2026,"$425,000","$444,450"
May 2026,"$428,495","$435,000"
Jun 2026,"$440,000","$429,950"
Jul 2026,"$435,000","$425,000"
