"#","ML #","PID","Status","Address Line","Zip","County/City","Type","Sales Date","List Price","Sales Price","Days On Market","New/Resale","Year Built","Subdivision","SqFtTotal","Acres","# Bedrooms","Total Baths","Water","Sewer","Sold Terms","Owned By"
"1","2222943","E000-0624-008","CLOSD","1314 North 30th Street, Richmond City VA 23223","23223","Richmond City","Single Family Residence","11/21/2022","$409,950","$415,000","58","New (never occupied)","2022","None","1,928","0.08","3","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2229135","738-746-8730","CLOSD","1614 Swansbury Drive, Henrico VA 23238","23238","Henrico","Single Family Residence","11/21/2022","$580,000","$585,000","5","Resale (occupied at least once)","1981","Kingsley","3,319","0.55","4","3.0","Public Water","Sewer - Public","Cash","Individuals"
"1","2208340","C0050352036","CLOSD","1825 German School Road, Richmond City VA 23225","23225","Richmond City","Single Family Residence","11/21/2022","$486,985","$525,185","29","New (never occupied)","2022","Westlake","2,998","","5","3.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2228204","026A-1-1","CLOSD","4323 Anderson Highway, Powhatan VA 23139","23139","Powhatan","Single Family Residence","11/21/2022","$346,000","$353,000","7","Resale (occupied at least once)","2020","None","1,555","1.48","4","2.0","Well","Septic - Conventional","FHA New","Corporate"
"1","2225093","794-63-92-97-000-000","CLOSD","14831 Harrowgate Road, Chesterfield VA 23831","23831","Chesterfield","Single Family Residence","11/21/2022","$224,000","$210,000","48","Resale (occupied at least once)","1956","None","1,344","5.00","3","2.0","Public Water","Septic - Conventional","Cash","Estate"
"1","2223278","027A-1-50","CLOSD","3400 Richards Run, Powhatan VA 23139","23139","Powhatan","Single Family Residence","11/21/2022","$375,000","$355,000","2","Resale (occupied at least once)","1999","Branchway Forest","2,080","2.28","3","2.0","Well","Septic - Conventional","Conventional","Individuals"
"1","2217715","7823-36-0639","CLOSD","16388 Woodman Hall Road, Hanover VA 23192","23192","Hanover","Single Family Residence","11/21/2022","$325,000","$322,000","53","Resale (occupied at least once)","1969","None","2,184","5.72","3","1.0","Well","Septic - Conventional","Conventional","Individuals"
"1","2227234","765-757-8085","CLOSD","8646 Springwater Drive, Henrico VA 23228","23228","Henrico","Townhouse","11/21/2022","$269,950","$280,000","4","Resale (occupied at least once)","2004","Millspring Townes","1,470","0.04","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2224006","TBD","CLOSD","2733 St. Elias Drive #UnitA, Henrico VA 23294","23294","Henrico","Condominium","11/21/2022","$354,498","$344,800","54","New (never occupied)","2022","West Broad Landing","1,590","","3","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2226832","794-63-87-40-900-000","CLOSD","15203 Broadwater Court, Chesterfield VA 23831","23831","Chesterfield","Townhouse","11/21/2022","$174,900","$177,000","14","Resale (occupied at least once)","1986","Timsberry Townehouse","988","0.04","2","1.1","Public Water","Sewer - Public","VHDA/FHA","Individuals"
"1","2203542","769655955100000","CLOSD","11325 Amara Drive, Chesterfield VA 23838","23838","Chesterfield","Single Family Residence","11/21/2022","$586,670","$586,670","0","New (never occupied)","2022","The Highlands","3,383","","5","3.0","Public Water","Sewer - Public","VA New","Corporate"
"1","2228386","824-724-4521","CLOSD","109 North Linden Avenue, Henrico VA 23075","23075","Henrico","Single Family Residence","11/21/2022","$174,950","$190,000","4","Resale (occupied at least once)","1954","Highland Springs","970","0.14","3","1.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2226719","30A  9  1127","CLOSD","6415 Ware Road, New Kent VA 23141","23141","New Kent","Single Family Residence","11/21/2022","$220,000","$231,000","8","Resale (occupied at least once)","1972","Woodhaven Shores","1,088","0.13","3","1.0","Community Well","Septic - Conventional","VA New","Individuals"
"1","2225293","748-67-85-23-400-000","CLOSD","10307 Ridgerun Road, Chesterfield VA 23832","23832","Chesterfield","Single Family Residence","11/21/2022","$235,000","$240,000","35","Resale (occupied at least once)","1986","Sunnybrook","1,113","0.20","3","1.1","Public Water","Sewer - Public","FHA New Assumption","Individuals"
"1","2228565","740-69-65-14-000-000","CLOSD","11719 Nevis Drive, Chesterfield VA 23114","23114","Chesterfield","Single Family Residence","11/21/2022","$399,950","$400,000","10","Resale (occupied at least once)","2000","St James Woods","2,444","0.28","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2227716","762-69-83-97-900-000","CLOSD","1816 Pocoshock Boulevard, Chesterfield VA 23235","23235","Chesterfield","Single Family Residence","11/21/2022","$310,000","$310,000","10","Resale (occupied at least once)","1975","None","1,834","0.44","3","2.0","Public Water","Septic - Conventional","Conventional","Individuals"
"1","2221209","C001-1089-052","CLOSD","10211 Duryea Drive, Richmond City VA 23235","23235","Richmond City","Single Family Residence","11/21/2022","$371,000","$350,000","42","Resale (occupied at least once)","1966","Hobby Hill Farms","2,054","0.35","4","3.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2215388","826660254100000","CLOSD","12033 Almer Lane, Chesterfield VA 23836","23836","Chesterfield","Single Family Residence","11/21/2022","$520,445","$520,445","0","New (never occupied)","2022","The Landings at Meadowville","3,082","","5","3.0","Public Water","Sewer - Public","FHA New","Corporate"
"1","2215109","J13-2428-3991","CLOSD","7735 Medalist Lane, New Kent VA 23124","23124","New Kent","Single Family Residence","11/21/2022","$335,385","$335,385","0","New (never occupied)","2022","Lifestyle at Four Seasons","1,338","","3","2.0","Public Water","Sewer - Public","USDA","Corporate"
"1","2228380","796-65-86-73-000-000","CLOSD","2830 Goyne Terrace, Chesterfield VA 23831","23831","Chesterfield","Townhouse","11/21/2022","$249,000","$245,000","6","Resale (occupied at least once)","2004","Westchester Townhouses","1,320","0.07","3","2.1","Public Water","Community - Sewer/Septic","Conventional","Individuals"
"1","2228562","738-72-10-21-900-000","CLOSD","3233 Middlewood Place, Chesterfield VA 23113","23113","Chesterfield","Single Family Residence","11/21/2022","$629,500","$660,000","3","Resale (occupied at least once)","1982","Foundry Run","3,809","3.41","3","2.1","Public Water","Septic - Conventional","Conventional","Corporate"
"1","2224408","C008-0592-014","CLOSD","3234 Olive Avenue, Richmond City VA 23234","23234","Richmond City","Single Family Residence","11/21/2022","$257,000","$257,000","37","Resale (occupied at least once)","1952","Chesterfield Court","1,929","0.29","4","2.0","Public Water","Sewer - Public","FHA New","Individuals"
"1","2228336","7822-09-5807","CLOSD","16494 Connie Hall Road, Hanover VA 23192","23192","Hanover","Single Family Residence","11/21/2022","$400,000","$400,000","12","Resale (occupied at least once)","2005","None","2,194","0.77","3","2.1","Well","Septic - Conventional","Conventional","Individuals"
"1","2223894","733-758-4524","CLOSD","13301 Hardings Trace Way, Henrico VA 23233","23233","Henrico","Single Family Residence","11/21/2022","$700,000","$679,000","5","Resale (occupied at least once)","1992","Hardings Trace","3,643","0.47","4","3.2","Public Water","Sewer - Public","Cash","Individuals"
"1","2216421","7787-37-9178","CLOSD","10520 Stony Bluff Drive #Unit102 S, Hanover VA 23005","23005","Hanover","Condominium","11/21/2022","$239,950","$235,000","150","New (never occupied)","2020","Stony Run","829","","1","1.0","Public Water","Sewer - Public","Cash","Corporate"
"1","2215081","5-6-0-B-0","CLOSD","4406 Butternut Grove Lane, Goochland VA 23084","23084","Goochland","Single Family Residence","11/21/2022","$339,950","$339,950","64","New (never occupied)","2022","None","1,600","4.22","3","2.0","Well","Septic - Conventional","Conventional","Corporate"
"1","2208833","699673637800000","CLOSD","6548 Hammock Creek Drive, Chesterfield VA 23120","23120","Chesterfield","Single Family Residence","11/21/2022","$583,625","$583,625","0","New (never occupied)","2022","Magnolia Green","2,953","","5","3.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2207993","58-54-3-107-0","CLOSD","9321 Citrine Run, Goochland VA 23238","23238","Goochland","Townhouse","11/21/2022","$539,040","$539,040","0","New (never occupied)","2022","Mosaic at West Creek","1,988","","2","2.1","Public Water","Sewer - Public","Cash","Corporate"
