#,ML #,PID,Status,Address,Zip,County/City,Type,Sales Date,List Price,Sales Price,Days On Market,New/Resale,Year Built,Subdivision,SqFtTotal,Acres,# Bedrooms,Total Baths,Water,Sewer,Sold Terms,Owned By
1,2516099,822-727-0330,CLOSD,125 Lee AVE,23075,Henrico,Single Family Residence,7/23/2025,"$170,000 ","$170,000 ",12,Resale (occupied at least once),1950,Highland Springs,"1,073",0.19,1,1,Public Water,Sewer - Public,Conventional,Individuals
1,2517556,828-64-04-86-000-000,CLOSD,2501 Bermuda AVE,23836,Chesterfield,Single Family Residence,7/31/2025,"$275,000 ","$361,000 ",0,Resale (occupied at least once),1930,Chesterfield Manor,"1,568",0.37,4,2,Public Water,Septic - Conventional,Conventional,Individuals
1,2518867,S006-0112-016,CLOSD,5413 Dorchester RD,23225,Richmond City,Single Family Residence,8/5/2025,"$825,000 ","$927,000 ",2,Resale (occupied at least once),1942,Westover Hills,"2,379",0.24,4,2.1,Public Water,Sewer - Public,Cash,Individuals
1,2431509,6.96672E+14,CLOSD,18750 Palisades RDG,23120,Chesterfield,Townhouse,8/5/2025,"$526,195 ","$526,195 ",0,New (never occupied),2024,Magnolia Green,"2,469",,4,3.1,Public Water,Sewer - Public,Conventional,Corporate
1,2511703,C004-0745-048,CLOSD,2700 Melbourne DR,23225,Richmond City,Single Family Residence,8/5/2025,"$624,900 ","$622,000 ",25,Resale (occupied at least once),1956,Gravel Hill,"2,676",0.57,5,3,Public Water,Sewer - Public,Conventional,Individuals
1,2515310,812-65-31-77-000-000,CLOSD,607 Rivers Bend CIR,23836,Chesterfield,Single Family Residence,8/5/2025,"$462,000 ","$475,500 ",7,Resale (occupied at least once),1989,Rivers Bend,"2,640",0.53,4,2.1,Public Water,Septic - Conventional,FHA New,Individuals
1,2516610,799-64-81-20-700-000,CLOSD,13713 Nile RD,23831,Chesterfield,Single Family Residence,8/5/2025,"$399,900 ","$405,000 ",19,Resale (occupied at least once),2004,Bermuda Place,"2,318",0.25,4,2.1,Public Water,Sewer - Public,Conventional,Individuals
1,2431021,834-712-4890,CLOSD,267 Greenpark RD,23150,Henrico,Townhouse,8/5/2025,"$354,665 ","$354,665 ",42,New (never occupied),2025,Parkside Townes,"1,540",,3,3.1,Public Water,Sewer - Public,VA New,Corporate
1,2505323,7.31706E+14,CLOSD,13245 Garland LN,23114,Chesterfield,Condominium,8/5/2025,"$359,090 ","$344,090 ",28,New (never occupied),2025,Coalfield Station,"1,623",,2,2,Public Water,Sewer - Public,Conventional,Corporate
1,2515299,8704-66-5809,CLOSD,8172 Dunfee LN,23111,Hanover,Single Family Residence,8/5/2025,"$460,000 ","$460,000 ",41,Resale (occupied at least once),1989,Windsor Sub,"2,572",0.37,3,2.1,Public Water,Sewer - Public,FHA New,Individuals
1,2516729,031A1-1B-19,CLOSD,111 King William Woods CT,23113,Powhatan,Single Family Residence,8/5/2025,"$595,000 ","$570,800 ",3,Resale (occupied at least once),1978,King William Woods,"3,005",2.01,5,3,Well,Septic - Conventional,Conventional,Estate
1,2518831,742-69-84-89-200-000,CLOSD,912 Westcreek DR,23236,Chesterfield,Single Family Residence,8/5/2025,"$450,000 ","$450,000 ",2,Resale (occupied at least once),1985,Monacan Hills,"2,096",0.23,4,2.1,Public Water,Sewer - Public,VA New,Individuals
1,2515955,769-67-74-54-700-000,CLOSD,6706 Alabaster LN,23234,Chesterfield,Single Family Residence,8/5/2025,"$425,000 ","$425,000 ",25,Resale (occupied at least once),2017,Watermark,"1,912",0.26,3,2.1,Public Water,Sewer - Public,Conventional,Individuals
1,2515641,S000-2455-009,CLOSD,3403 Lawson ST,23224,Richmond City,Single Family Residence,8/5/2025,"$249,950 ","$250,000 ",17,Resale (occupied at least once),1918,Burfoot Addition,"1,174",0.15,3,1,Public Water,Sewer - Public,Conventional,"Corporate, Individuals"
1,2514923,756-65-55-49-300-000,CLOSD,9701 Waterfowl Flyway,23838,Chesterfield,Single Family Residence,8/5/2025,"$649,900 ","$630,000 ",46,Resale (occupied at least once),1988,Woodland Pond,"3,472",1.04,4,2.2,Public Water,Septic - Conventional,Cash,Individuals
1,2511101,23        41D,CLOSD,8000 N Courthouse RD,23124,New Kent,Single Family Residence,8/5/2025,"$389,000 ","$389,000 ",46,Resale (occupied at least once),1961,None,"3,107",3.4,3,1.1,Well,Septic - Conventional,Conventional,Individuals
1,2514501,737-66-93-54-000-000,CLOSD,12308 Penny Bridge DR,23112,Chesterfield,Single Family Residence,8/5/2025,"$475,000 ","$475,000 ",5,Resale (occupied at least once),2007,Bayhill Pointe,"2,341",0.4,3,2,Public Water,Sewer - Public,Conventional,Individuals
1,2512535,776-64-04-21-400-000,CLOSD,14611 Loamy CIR,23838,Chesterfield,Single Family Residence,8/5/2025,"$480,000 ","$480,000 ",6,Resale (occupied at least once),1989,Glebe Point,"2,663",1.07,3,3,Public Water,Septic - Conventional,Conventional,Individuals
1,2516693,788-756-7546,CLOSD,8306 Dade RD,23227,Henrico,Single Family Residence,8/5/2025,"$399,950 ","$405,000 ",6,Resale (occupied at least once),1956,Wildwood,"1,716",0.28,4,2.1,Public Water,Sewer - Public,Conventional,Corporate
1,2519936,S000-1358-010,CLOSD,400 W 31st ST,23225,Richmond City,Single Family Residence,8/5/2025,"$574,950 ","$550,000 ",5,Resale (occupied at least once),1923,Woodland Heights,"2,880",0.16,4,1.1,Public Water,Sewer - Public,Cash,Individuals
1,2519070,724-69-18-07-000-000,CLOSD,2002 Deer Meadow CT,23112,Chesterfield,Single Family Residence,8/5/2025,"$404,950 ","$405,000 ",6,Resale (occupied at least once),1991,Brandermill,"1,676",0.16,4,2,Public Water,Sewer - Public,Conventional,Individuals
1,2518572,735-760-1711,CLOSD,13028 Chimney Stone CT,23233,Henrico,Single Family Residence,8/5/2025,"$459,950 ","$490,000 ",4,Resale (occupied at least once),1992,Danewood At Wellesley,"1,727",0.14,3,2,Public Water,Sewer - Public,Conventional,Individuals
